avgRoomPerimeter,rotError.mean.std
1364.92084998,0.00314194787486
2504.05291544,0.000529720236435
397.608743609,0.00274200687267
158.574001973,0.000868010041646
635.88614888,0.000988470995105
108.968542951,0.00396421114784
1528.34984877,0.00305267434636
759.248936383,0.00323725683059
907.63600807,0.00162224709611
529.397177254,0.00122251686463
720.429585269,0.00481593435646
443.595373769,0.00139556645188
231.338538533,0.00295561424787
655.562672363,0.000970277349218
162.29472605,0.00087903722649
1446.42707976,0.00234359606884
1054.23420007,0.00196300121238
539.066583437,0.00475371639426
99.2869208384,0.00347532974758
252.355785617,0.00196074084985
191.722481992,0.00290945535533
379.091758694,0.0031687609811
262.262352826,0.00691864528074
191.601876363,0.00176297243951
294.819744545,0.00288446249643
252.559291854,0.00193137045088
632.972242461,0.00350567334933
707.007128463,0.0101955133655
152.416788175,0.00189316660463
511.089909024,0.00409306542765
855.595083334,0.0021898122043
3522.51982697,0.00268365863701
345.9363477,0.00416085194839
650.998139899,0.00454871802084
120.176589697,0.00641385431356
264.066070953,0.00357712486121
462.675505543,0.00149199568169
381.143373035,0.00373159733983
758.966768091,0.00227211409784
1344.71238759,0.00284573492967
351.259423682,0.00416717640221
575.918221531,0.00429998156474
973.132170798,0.00262143524665
557.871193445,0.0015716058183
1503.33670222,0.00295077555546
774.553634232,0.00347412036809
555.98246505,0.00393376291854
2161.19207626,0.00199420279203
1410.68850812,0.00317220657184
2284.5563757,0.00212895982035
511.212845367,0.00283126115696
630.752429175,0.00452986510634
894.483397546,0.00169591170353
1099.36562113,0.00167382816322
630.451496107,0.00380101619562
1194.83545134,0.00567736820441
1792.08753811,0.00200585427637
525.16858287,0.00290650421563
391.018440217,0.00604227499064
645.16136179,0.00633767378436
2075.92330798,0.00090005519672
1164.69698299,0.00296056940863
248.223687618,0.00379557550738
874.059231919,0.0018376947053
470.90808455,0.00342684333818
527.296427239,0.0018378217927
844.944967104,0.0038392713065
219.335679185,0.00265952798602
558.011810887,0.00290145318257
288.41201767,0.127889138475
1406.85593365,0.00273066403156
682.400594462,0.00140772643706
2023.67071564,0.00163527502515
112.337263592,0.00529794026363

5-Fold RMSE:,0.00393973856351,0.00366542573965,0.00306472593255,0.0017719647798,0.0017719647798
Average 5-Fold RMSE:,0.0091666371126

5-Fold rsquared:,-1.16277285104,-0.0654920083933,-3.44684872209,-0.773157855491,-0.773157855491
Average 5-Fold rsquared:,-3.68679246938
