voronoi_std_katz_centrality,rotError.numSamples.mean
0.0394800592855,8502.88888889
0.0464069089952,4291.20833333
0.0624731549568,5073.26086957
0.063752172964,2208.2
0.0754900972952,533.736842105
0.129091206881,281.035714286
0.102657659336,375.75
0.0661008951017,3820.06451613
0.0502704418861,4729.04166667
0.0586127538334,3357.30434783
0.0780340421936,1109.95652174
0.0939892490074,244.540540541
0.0975397092036,830.8
0.111014569034,180.0
0.110099823171,450.733333333
0.0929712298051,457.388888889
0.108205660452,628.1
0.119112086547,954.971428571
0.0659829233406,914.034482759
0.0585913436971,2059.76470588
0.0598248730876,8900.875
0.0772516261558,2142.7826087
0.048109504833,9951.88235294
0.0637167667236,5881.21428571
0.0692008974402,3028.03571429
0.0544424123813,12817.0714286
0.0841168072726,2496.67647059
0.0797494568412,8121.34782609
0.106868056324,2459.1
0.0631905584655,3998.88235294
0.0669254864612,716.857142857
0.059006633997,843.47826087
0.0592550204987,3702.36363636
0.0714572904211,6648.12
0.0434370069683,4365.44444444
0.0483911660079,4280.06666667
0.0575331907477,1701.35294118
0.0534243204259,3879.09375
0.114707065441,189.695652174
0.0680103608451,1054.375
0.0658075265519,2765.85185185
0.0968684562829,1206.76923077
0.0561712509096,6532.5
0.0581987476898,3173.27272727
0.0879679595136,2456.83333333
0.0683610410463,2281.8
0.0597913687418,6061.31034483
0.0575400519371,8307.2
0.0725973866224,2598.6
0.0657233059386,3927.24390244
0.0755615846501,1492.89285714
0.060574938632,3379.41666667
0.0835822171484,655.766666667
0.0738591884147,964.583333333
0.0824780523605,1611.27777778
0.0616037184567,3842.36
0.0755455798348,1384.0
0.062966882775,3280.36666667
0.0788806200449,2484.47619048
0.0722201300189,1119.77419355
0.0761861508636,581.0
0.0773264365088,510.341463415
0.204263905889,1274.18518519
0.0891668487181,1420.46666667
0.0628086114111,4234.0625
0.0823513570222,754.666666667
0.0641495247308,3208.20833333
0.089069884571,407.793103448
0.066034753817,2487.5
0.0594085046862,2474.48571429
0.0680457197775,609.074074074
0.0713808637398,2976.25
0.0637154343161,461.08
0.0671155361255,1971.81578947

5-Fold RMSE:,3009.15694096,1501.81028412,3305.98833387,1123.92734626,1123.92734626
Average 5-Fold RMSE:,2296.25687931

5-Fold rsquared:,0.326702186423,0.244399143135,-1.13474669466,0.0280916497563,0.0280916497563
Average 5-Fold rsquared:,-0.0961880712023
