topology_density,transError.std.mean
0.090756302521,0.778805
0.0557491289199,0.522405666667
0.0585365853659,0.611337304348
0.106666666667,0.3833542
0.166666666667,0.198447578947
0.222222222222,0.12269
0.181818181818,0.153758035714
0.0582793709528,0.492268548387
0.0611664295875,0.531760416667
0.0942028985507,0.440496478261
0.134502923977,0.30601326087
0.133333333333,0.133319189189
0.117647058824,0.194677542857
0.142857142857,0.11035772
0.183333333333,0.139761666667
0.158333333333,0.178345722222
0.171428571429,0.2198439
0.125,0.243437428571
0.1,0.256086724138
0.666666666667,0.338521882353
0.0619796484736,0.61062825
0.122807017544,0.359939652174
0.0542635658915,0.708234558824
0.0984615384615,0.628137071429
0.100985221675,0.443055071429
0.0659536541889,0.936557642857
0.105263157895,0.398797941176
0.1,0.690604043478
0.105263157895,0.404276533333
0.0827586206897,0.493052294118
0.0630630630631,0.232889238095
0.0690690690691,0.221677130435
0.0655462184874,0.341540409091
0.08,0.65674012
0.0460829493088,0.423536259259
0.0550724637681,0.4465398
0.0505319148936,0.306929823529
0.0475113122172,0.480697125
0.166666666667,0.108247869565
0.0602564102564,0.236416833333
0.070564516129,0.405104185185
0.117647058824,0.273577115385
0.0592334494774,0.694026083333
0.0909090909091,0.480950272727
0.109523809524,0.326498583333
0.0570048309179,0.4142652
0.0689655172414,0.500458896552
0.0641025641026,0.625794366667
0.0826210826211,0.379335257143
0.111111111111,0.487031439024
0.15,0.309707785714
0.0911680911681,0.503770083333
0.0952380952381,0.218116833333
0.110526315789,0.213804791667
0.102766798419,0.310407555556
0.0611664295875,0.50208644
0.0905797101449,0.3024675
0.0866666666667,0.464581966667
0.105263157895,0.379500214286
0.0712643678161,0.286365322581
0.0952380952381,0.19540578125
0.125,0.171382926829
0.105263157895,0.326238777778
0.117647058824,0.287927933333
0.0621848739496,0.50571615625
0.0952380952381,0.224714148148
0.0804597701149,0.500257916667
0.141666666667,0.153626448276
0.0585585585586,0.398803653846
0.0773109243697,0.341757914286
0.141666666667,0.203370592593
0.0978260869565,0.304974964286
0.122807017544,0.17280424
0.0804597701149,0.366907921053

5-Fold RMSE:,0.141440157738,0.154279172569,0.175195031547,0.449315419882,0.449315419882
Average 5-Fold RMSE:,0.209028596821

5-Fold rsquared:,-3.50443482048,0.0766705947532,0.136597065509,0.0588790752835,0.0588790752835
Average 5-Fold rsquared:,-0.73790522907
