wallRatio,transError.numSamples.std
82.25,4574.73377354
68.2,3504.51641908
95.5085578123,4516.12281977
58.5,1068.57195671
259.861982598,257.853455343
79.1568064035,141.850142792
156.077544829,182.929460449
254.000492126,3510.04999446
107.75,3935.77212331
85.0,4927.43898941
150.372087523,363.803157271
116.372247551,147.306005198
79.9034139168,2626.374729
152.105884173,108.084781537
140.405128111,1084.0791156
70.2032762768,183.153742003
111.803398875,273.731419461
52.3333333333,642.991734482
159.476547589,702.453163625
107.12901101,1510.28589149
75.0,14727.7449601
85.5,2308.33572565
82.2192191644,15286.2712796
85.6692606611,8108.00744572
146.017550315,2866.01159506
42.5,24073.9681947
40.7940417972,2219.38941949
116.833333333,8919.29941979
54.6829244118,1725.55951023
195.799193881,3228.66340734
52.3630080819,308.046732032
72.7590861363,701.623265043
137.333434466,12253.024445
195.0,5103.87888822
57.795023193,12190.977691
62.8,10206.0904135
64.1950153828,1947.88730019
47.3333333333,4006.02426321
134.713399482,189.939449112
75.894663844,2139.14201672
64.2505870093,4015.83521781
64.8333333333,968.189122803
113.5,5532.41528027
59.6003355695,1328.17120275
116.659635642,4913.35122961
75.5,897.213776087
61.75,12782.2996962
119.221642331,15884.6134701
100.215345056,3217.32940007
113.84243497,4350.15152402
100.762716319,1687.4634671
108.5,2072.14962693
61.0,383.599850828
69.3375245282,2014.30380687
162.786363065,1917.94562562
60.9924333264,2174.75877982
276.335142736,1102.42140417
125.858650875,2925.49410622
136.792027631,3355.85891523
170.018165119,490.102011085
186.752431278,432.474999277
94.2,473.088895362
121.115647214,606.727838005
125.858650875,1136.24840985
69.0004528971,4289.42952164
60.5556574923,803.781894131
54.7144722115,1881.63948857
76.8259771772,316.936671506
56.5108006335,2151.72678867
185.4,5518.65907301
39.8571428571,350.849437575
88.2524787187,9293.22106863
103.815447111,257.78020405
359.666821131,1433.91482635

5-Fold RMSE:,3814.86474659,4484.55120906,7246.07113323,3151.04451072,3151.04451072
Average 5-Fold RMSE:,4309.71827813

5-Fold rsquared:,-0.00798544957346,-1.22303951315,-0.00297288351846,-0.113532516723,-0.113532516723
Average 5-Fold rsquared:,-0.274489186856
