voronoi_radius,rotError.mean.mean
14,0.00781177272727
18,0.00518106666667
15,0.00745268421053
6,0.00380332142857
11,0.00530514285714
19,0.0108654444444
20,0.0100377916667
19,0.00976259090909
20,0.00654347826087
16,0.00574740540541
14,0.0063216
10,0.00609472
10,0.00695146666667
13,0.00530697297297
9,0.00419643333333
10,0.00586774285714
20,0.0080334137931
19,0.00957582352941
21,0.0113755652174
16,0.00664728571429
40,0.00940933333333
22,0.00862580769231
11,0.0175163076923
16,0.00585915384615
9,0.0080592
14,0.00719391304348
12,0.0116620333333
23,0.0185035384615
22,0.00794823076923
19,0.00808536363636
17,0.00828783870968
18,0.0090522
23,0.0130484230769
28,0.0102915384615
21,0.0115043333333
22,0.0112823142857
8,0.00535094117647
17,0.0116517083333
18,0.00985292
12,0.00736969230769
20,0.0124235769231
26,0.0109033461538
17,0.00870517391304
22,0.00633515384615
20,0.0100060769231
20,0.00994803703704
14,0.0114515483871
20,0.00746737837838
14,0.0102650357143
16,0.0086655
16,0.0111931666667
12,0.00878128
17,0.00787177777778
23,0.0083908
18,0.013150075
16,0.0103568888889
14,0.00629451282051
23,0.0100887741935
15,0.0114415
14,0.0108286829268
4,0.00529
16,0.0074369
19,0.0108653666667
14,0.00650085185185
19,0.0107349090909
13,0.00662575862069
18,0.0108217916667
15,0.00683478125
18,0.00717885185185
29,0.0361834583333
16,0.00648584615385
20,0.00584372
15,0.0060295
27,0.0163589615385

5-Fold RMSE:,0.00375110806739,0.00742081514103,0.00195069030144,0.00218382469716,0.00218382469716
Average 5-Fold RMSE:,0.00380144441868

5-Fold rsquared:,0.171752636213,0.0506430123023,0.0409273348429,0.0552160997194,0.0552160997194
Average 5-Fold rsquared:,0.0486346646911
