density,transError.std.mean
0.00808823529412,0.610577304348
0.00955699352912,0.3833542
0.0116912972085,0.198447578947
0.0344632768362,0.12269
0.0215053763441,0.153758035714
0.00925140387024,0.492268548387
0.00519180106663,0.531760416667
0.00722834459059,0.440496478261
0.0129516019087,0.30601326087
0.0176991150442,0.133319189189
0.0190476190476,0.194677542857
0.0253086419753,0.11035772
0.0246913580247,0.139761666667
0.0173913043478,0.178345722222
0.0238095238095,0.2198439
0.0285714285714,0.243437428571
0.0090424298632,0.273808166667
0.00713667820069,0.338521882353
0.00740202062177,0.61062825
0.0131513647643,0.359939652174
0.00484541088869,0.588087103448
0.00866896039938,0.628137071429
0.010447761194,0.443055071429
0.00595238095238,0.999427916667
0.0151079136691,0.398797941176
0.0131567778627,0.690604043478
0.0238095238095,0.404276533333
0.00812851405622,0.493052294118
0.00904977375566,0.232889238095
0.00721522115147,0.221677130435
0.00719244167105,0.341540409091
0.0105263157895,0.65674012
0.00400898812284,0.423536259259
0.00480478499412,0.4465398
0.00671096345515,0.306929823529
0.0058288988948,0.480697125
0.0263157894737,0.108247869565
0.00938926320365,0.1948145
0.00892348585533,0.405104185185
0.0190476190476,0.273577115385
0.00642957604983,0.694026083333
0.00740228294708,0.480950272727
0.015503875969,0.326498583333
0.00952380952381,0.4142652
0.00724618860868,0.500458896552
0.00697674418605,0.625794366667
0.0108634470337,0.379335257143
0.0097678694553,0.487031439024
0.0116271344097,0.309707785714
0.00765140004341,0.515047357143
0.013986013986,0.218116833333
0.0114093556717,0.219631666667
0.0137931034483,0.310407555556
0.00769163788349,0.50208644
0.0118343195266,0.3024675
0.00844979919679,0.464581966667
0.0132155083194,0.379500214286
0.0105814273905,0.286365322581
0.0116959064327,0.206892133333
0.0121212121212,0.171382926829
0.103896103896,0.324577269231
0.0161290322581,0.287927933333
0.00793650793651,0.50571615625
0.013698630137,0.224714148148
0.00836649321498,0.500257916667
0.015873015873,0.153626448276
0.0088868459358,0.398803653846
0.00749872902898,0.389266045455
0.0093023255814,0.203370592593
0.00440412804838,0.525956928571
0.0104161102505,0.304974964286
0.00822963331674,0.17280424
0.00921283274224,0.366907921053
0.00318368544601,0.741109166667
