area,rotError.std.std
3629.2829625,0.00570813314798
3749.9122125,0.00238204213415
515.11,0.00443794731193
92.620625,0.00221181244909
419.118560455,0.00124875791759
268.7265625,0.00692890029398
2711.72494554,0.00526352379524
1020.60351562,0.00916339305052
1120.46556127,0.00109827381314
441.159665625,0.001820392131
768.704681585,0.0115835540733
375.53625,0.00242628577179
214.91426475,0.00881799279479
626.622469523,0.00156947572306
121.8046875,0.00133593491358
1233.26750596,0.0033034977955
2003.5,0.00427790386373
1244.54759766,0.010818340273
279.4009375,0.0073614093577
256.2996875,0.0020421627691
434.9653125,0.00882900353326
397.378125,0.0056069691509
300.230625,0.00964521917124
325.31,0.0102373131119
231.629375,0.00694223066048
235.2825,0.00719629727175
547.4859375,0.00729724936466
1196.88557207,0.00941862106525
322.763125,0.00165015637774
1235.16935698,0.00327309840264
1486.08538919,0.00344135860057
5351.94959335,0.00431503222254
1312.1154,0.00820748297377
1269.8764875,0.038374045582
290.0184375,0.00800000789555
704.7703125,0.00653686665775
323.6559375,0.0030003076901
786.936585364,0.00533292057631
1276.3958515,0.00671912860422
1203.42228531,0.00480609803905
774.963125,0.00899802736477
786.40125,0.00879950207474
1054.32679687,0.0034406223505
1224.61670978,0.00161564506
2419.47625,0.00646094092521
1934.39945026,0.00512121237682
852.118300775,0.00772600753931
2354.8528125,0.00810460207062
1177.07375,0.00596216482169
3249.62426032,0.00468461053166
654.106850714,0.00290363576381
657.353612623,0.00727200671353
1073.86429004,0.00593740494427
2396.76446011,0.0031691424541
1041.21327443,0.00360718859354
1933.90139917,0.00760278416857
1647.76381253,0.00281495176744
1218.21311288,0.00295568783369
566.726642893,0.00587875703598
566.381786317,0.00492444947089
2313.45559827,0.00274550707465
1184.450625,0.00668196581096
459.930625,0.00693703706243
1119.8547,0.00651974844058
734.15,0.0105001485137
534.7525,0.00348419817228
1631.6725,0.00672065780498
365.2209375,0.00427584456832
460.9959375,0.0034764729288
707.949375,0.218382402573
1710.57095749,0.0062202472559
739.903125,0.00201918335413
2306.9446875,0.00303309851547
441.6625,0.00630615992045

5-Fold RMSE:,0.00659827135637,0.00420779056378,0.0035061413645,0.00953922133544,0.00953922133544
Average 5-Fold RMSE:,0.0161264152974

5-Fold rsquared:,-2.90802582066,-0.165759281553,-0.0576362260296,-1.06098948294,-1.06098948294
Average 5-Fold rsquared:,-1.47289543567
