roomPerimeter,transError.numSamples.mean
1588.62791478,5859.7826087
1351.09384402,2208.2
458.622966465,533.736842105
125.926169628,281.035714286
302.601396954,375.75
501.062394277,3820.06451613
1837.42341771,4729.04166667
688.861804167,3357.30434783
662.793955846,1109.95652174
345.129490021,244.540540541
456.293929549,830.8
315.925559425,180.0
243.357074819,450.733333333
409.663330218,457.388888889
203.831915727,628.1
608.510749633,954.971428571
811.724322072,1007.54166667
789.405453777,2059.76470588
498.214112703,8900.875
349.485622363,2142.7826087
623.087494685,6283.62068966
506.227250231,5881.21428571
469.640967896,3028.03571429
470.629120514,13942.1666667
343.406315926,2496.67647059
349.626511091,8121.34782609
503.178792264,2459.1
824.277775057,3998.88235294
481.48305766,716.857142857
859.077312371,843.47826087
1023.76949412,3702.36363636
1483.77049838,6648.12
1208.95867135,4365.44444444
1173.67459887,4280.06666667
537.162909983,1701.35294118
845.005713505,3879.09375
279.62861162,189.695652174
780.915742482,508.4375
909.128599512,2765.85185185
623.395444333,1206.76923077
787.160481335,6532.5
551.960813093,3173.27272727
655.096395443,2456.83333333
1086.4876646,2281.8
1357.05101607,6061.31034483
1113.23214774,8307.2
636.640571297,2598.6
883.283838598,3927.24390244
638.505269241,1492.89285714
1290.51989442,3814.28571429
474.810346145,655.766666667
502.295701425,612.888888889
687.882051882,1611.27777778
1293.11063322,3842.36
602.61103687,1384.0
864.15979835,3280.36666667
846.661098224,2484.47619048
687.49670878,1119.77419355
454.8062828,591.466666667
406.40042891,510.341463415
865.683726415,1281.76923077
580.17017166,1420.46666667
551.429068269,4234.0625
620.854347876,754.666666667
651.012500721,3208.20833333
367.406975129,407.793103448
1075.51367261,2487.5
533.159488544,3492.45454545
377.956377889,609.074074074
747.238694267,4201.78571429
900.193877884,2976.25
496.333168951,461.08
1394.54206022,1971.81578947
837.315270419,8002.75
