voronoi_nodes,transError.std.mean
256,0.597974409091
246,0.3833542
175,0.198447578947
60,0.12269
93,0.153758035714
223,0.443964518519
395,0.531760416667
291,0.402073772727
163,0.30601326087
113,0.133319189189
105,0.194677542857
81,0.11035772
81,0.139761666667
115,0.178360027027
85,0.2198439
70,0.243437428571
228,0.256086724138
289,0.338521882353
278,0.583932391304
156,0.325802619048
431,0.59423269697
244,0.577431384615
201,0.38375874359
337,0.698436384615
140,0.3659623
154,0.690604043478
85,0.404276533333
250,0.441453846154
221,0.237735884615
285,0.225124575758
283,0.256219483871
190,0.65674012
530,0.358577384615
427,0.362996384615
301,0.287370933333
350,0.50726
76,0.0964399411765
215,0.236416833333
230,0.35981112
105,0.273577115385
316,0.702296269231
295,0.558222807692
129,0.282527217391
211,0.292004974359
278,0.441571769231
301,0.501131740741
189,0.346335935484
229,0.466183297297
174,0.309707785714
272,0.503770083333
143,0.218116833333
183,0.1932868
146,0.310407555556
263,0.50208644
170,0.29558275
250,0.442420407407
159,0.337067487179
191,0.286365322581
172,0.19540578125
166,0.171382926829
22,0.327402357143
124,0.287927933333
253,0.466749133333
146,0.224714148148
243,0.483949818182
126,0.153626448276
229,0.380862583333
281,0.2900733125
215,0.203370592593
462,0.522405666667
194,0.237020576923
246,0.17280424
222,0.366907921053
640,0.789124346154

5-Fold RMSE:,0.145464858502,0.144924872944,0.117035650982,0.0725760092406,0.0725760092406
Average 5-Fold RMSE:,0.127636698449

5-Fold rsquared:,0.193679083402,0.278877884072,0.413817971238,0.314769102141,0.314769102141
Average 5-Fold rsquared:,0.301457752194
