avgRoomPerimeter,transError.mean.mean
1364.92084998,0.494097045455
2504.05291544,0.347489733333
397.608743609,0.178033842105
158.574001973,0.111519571429
635.88614888,0.135674892857
108.968542951,0.500454518519
1528.34984877,0.483538
759.248936383,0.314663090909
907.63600807,0.266804521739
529.397177254,0.136014027027
720.429585269,0.1602634
443.595373769,0.11330008
231.338538533,0.120517266667
655.562672363,0.168670918919
162.29472605,0.1753349
1446.42707976,0.250973828571
1054.23420007,0.255138206897
539.066583437,0.275744352941
99.2869208384,0.550894956522
252.355785617,0.348672047619
191.722481992,0.556707151515
379.091758694,0.560622653846
262.262352826,0.375646230769
191.601876363,0.493396230769
294.819744545,0.349249866667
252.559291854,0.511895521739
632.972242461,0.3828526
707.007128463,0.376691423077
152.416788175,0.2061935
511.089909024,0.234490727273
855.595083334,0.250467741935
3522.51982697,0.63580396
345.9363477,0.298866
650.998139899,0.263492076923
120.176589697,0.279235933333
264.066070953,0.469986628571
462.675505543,0.0827919117647
381.143373035,0.224303125
758.966768091,0.36068872
1344.71238759,0.297397730769
351.259423682,0.687380423077
575.918221531,0.594765692308
973.132170798,0.276685391304
557.871193445,0.26799774359
1503.33670222,0.394348115385
774.553634232,0.407328592593
555.98246505,0.301939870968
2161.19207626,0.337777675676
1410.68850812,0.301987178571
2284.5563757,0.381142583333
511.212845367,0.2053401
630.752429175,0.16422708
894.483397546,0.273704222222
1099.36562113,0.42013416
630.451496107,0.315128875
1194.83545134,0.391206259259
1792.08753811,0.319272923077
525.16858287,0.283932129032
391.018440217,0.19405875
645.16136179,0.191225219512
2075.92330798,0.287816464286
1164.69698299,0.3031
248.223687618,0.4451378
874.059231919,0.236201074074
470.90808455,0.513622636364
527.296427239,0.154262137931
844.944967104,0.395215916667
219.335679185,0.2822633125
558.011810887,0.189719777778
288.41201767,0.513207166667
1406.85593365,0.240103076923
682.400594462,0.17891308
2023.67071564,0.367190842105
112.337263592,0.626637846154

5-Fold RMSE:,0.157102086705,0.130449362085,0.155196851742,0.118078913585,0.118078913585
Average 5-Fold RMSE:,0.141379334247

5-Fold rsquared:,-0.0507205230005,-0.191234998238,-0.000363635136766,-0.0316547981553,-0.0316547981553
Average 5-Fold rsquared:,-0.0700665113389
