topology_numBifurcationPoints,rotError.numSamples.std
20,4574.73377354
8,3504.51641908
12,4516.12281977
8,1068.57195671
3,257.853455343
2,141.850142792
1,182.929460449
14,3510.04999446
4,3935.77212331
5,4927.43898941
5,363.803157271
3,147.306005198
5,2626.374729
2,108.084781537
9,1084.0791156
3,183.153742003
4,273.731419461
1,642.991734482
9,702.453163625
0,1510.28589149
17,14727.7449601
4,2308.33572565
6,15286.2712796
5,8108.00744572
9,2866.01159506
12,24073.9681947
1,2219.38941949
2,8919.29941979
1,1725.55951023
8,3228.66340734
12,308.046732032
10,701.623265043
7,12253.024445
3,5103.87888822
28,12190.977691
10,10206.0904135
15,1947.88730019
14,4006.02426321
3,189.939449112
10,2139.14201672
9,4015.83521781
3,968.189122803
15,5532.41528027
5,1328.17120275
5,4913.35122961
22,897.213776087
3,12782.2996962
13,15884.6134701
5,3217.32940007
3,4350.15152402
3,1687.4634671
12,2072.14962693
3,383.599850828
4,2014.30380687
7,1917.94562562
9,2174.75877982
4,1102.42140417
5,2925.49410622
3,3355.85891523
7,490.102011085
4,432.474999277
3,473.088895362
3,606.727838005
5,1136.24840985
7,4289.42952164
4,803.781894131
6,1881.63948857
1,316.936671506
3,2151.72678867
11,5518.65907301
3,350.849437575
5,9293.22106863
4,257.78020405
5,1433.91482635

5-Fold RMSE:,6560.78155872,2514.41270195,4133.01808132,4656.36457607,4656.36457607
Average 5-Fold RMSE:,4015.21137102

5-Fold rsquared:,0.214461377186,0.0993023232829,0.0668785810256,-1.75202212413,-1.75202212413
Average 5-Fold rsquared:,-0.237387556899
