entropy,rotError.std.std
0.3221447186,0.00570813314798
0.470907976972,0.00238204213415
0.523778963834,0.00443794731193
0.395497312924,0.00221181244909
0.328353771228,0.00124875791759
0.29333028783,0.00692890029398
0.370370404356,0.00526352379524
0.274988878465,0.00916339305052
0.206876229631,0.00109827381314
0.538030318706,0.001820392131
0.295756027505,0.0115835540733
0.380368228615,0.00242628577179
0.382280806687,0.00881799279479
0.479363399065,0.00156947572306
0.348905806613,0.00133593491358
0.333070872241,0.0033034977955
0.254912011889,0.00427790386373
0.55908348168,0.010818340273
0.308572760262,0.0073614093577
0.318539406313,0.0020421627691
0.277888866018,0.00882900353326
0.284676724208,0.0056069691509
0.297507395277,0.00964521917124
0.204850511929,0.0102373131119
0.234452734746,0.00694223066048
0.306951959387,0.00719629727175
0.335083355922,0.00729724936466
0.446540182952,0.00941862106525
0.505791691597,0.00165015637774
0.510763420494,0.00327309840264
0.329875981726,0.00344135860057
0.39131588904,0.00431503222254
0.756474176243,0.00820748297377
0.636473091808,0.038374045582
0.607846472941,0.00800000789555
0.568528908897,0.00653686665775
0.558090194533,0.0030003076901
0.398900389202,0.00533292057631
0.51387932211,0.00671912860422
0.393196937981,0.00480609803905
0.484828329434,0.00899802736477
0.37395692585,0.00879950207474
0.410231936509,0.0034406223505
0.326105044278,0.00161564506
0.521749511142,0.00646094092521
0.405325651205,0.00512121237682
0.333393618806,0.00772600753931
0.437642046974,0.00810460207062
0.329219680936,0.00596216482169
0.255193614573,0.00468461053166
0.291600149817,0.00290363576381
0.360445393349,0.00727200671353
0.50107086266,0.00593740494427
0.527835552252,0.0031691424541
0.380530385989,0.00360718859354
0.529081411403,0.00760278416857
0.450537965723,0.00281495176744
0.442437535411,0.00295568783369
0.423383015861,0.00587875703598
0.454458774711,0.00492444947089
0.433576786625,0.00274550707465
0.488364877974,0.00668196581096
0.554227610854,0.00693703706243
0.438986776868,0.00651974844058
0.472547868952,0.0105001485137
0.464185790183,0.00348419817228
0.557906180205,0.00672065780498
0.63559816881,0.00427584456832
0.482066878387,0.0034764729288
0.568207500774,0.218382402573
0.452134192471,0.0062202472559
0.553248122712,0.00201918335413
0.313819750698,0.00303309851547
0.687950739326,0.00630615992045

5-Fold RMSE:,0.054611307252,0.00623055152523,0.00962644910668,0.00634694251443,0.00634694251443
Average 5-Fold RMSE:,0.0171453677791

5-Fold rsquared:,-0.0522784685155,-6.31089440511,-3.3304982706,-17.4788271148,-17.4788271148
Average 5-Fold rsquared:,-5.39638092912
