voronoi_numBifurcationPoints,rotError.mean.mean
131,0.00781177272727
162,0.00518106666667
88,0.00745268421053
28,0.00380332142857
44,0.00530514285714
93,0.0108654444444
197,0.0100377916667
146,0.00976259090909
85,0.00654347826087
52,0.00574740540541
48,0.0063216
39,0.00609472
38,0.00695146666667
52,0.00530697297297
41,0.00419643333333
32,0.00586774285714
114,0.0080334137931
145,0.00957582352941
119,0.0113755652174
68,0.00664728571429
195,0.00940933333333
107,0.00862580769231
98,0.0175163076923
126,0.00585915384615
66,0.0080592
58,0.00719391304348
41,0.0116620333333
125,0.0185035384615
107,0.00794823076923
145,0.00808536363636
141,0.00828783870968
92,0.0090522
268,0.0130484230769
214,0.0102915384615
145,0.0115043333333
178,0.0112823142857
36,0.00535094117647
104,0.0116517083333
117,0.00985292
49,0.00736969230769
160,0.0124235769231
159,0.0109033461538
62,0.00870517391304
102,0.00633515384615
137,0.0100060769231
155,0.00994803703704
94,0.0114515483871
135,0.00746737837838
84,0.0102650357143
144,0.0086655
67,0.0111931666667
90,0.00878128
71,0.00787177777778
126,0.0083908
81,0.013150075
134,0.0103568888889
82,0.00629451282051
94,0.0100887741935
80,0.0114415
74,0.0108286829268
13,0.00529
58,0.0074369
123,0.0108653666667
65,0.00650085185185
121,0.0107349090909
60,0.00662575862069
111,0.0108217916667
148,0.00683478125
101,0.00717885185185
228,0.0361834583333
93,0.00648584615385
119,0.00584372
112,0.0060295
324,0.0163589615385

5-Fold RMSE:,0.00231042022442,0.00316154860714,0.00284392653922,0.00657961857916,0.00657961857916
Average 5-Fold RMSE:,0.00341080314591

5-Fold rsquared:,0.00298815843632,0.00320775322875,0.0165763162538,0.648927636333,0.648927636333
Average 5-Fold rsquared:,0.174168023441
