voronoi_avg_katz_centrality,transError.std.std
0.00195573996648,0.210038240515
0.00330166049308,0.167837658831
0.00183164127162,0.230568556601
0.000837312826764,0.0888341978949
0.00394092941488,0.0536568207547
0.00145841446799,0.0531756045959
0.0146319223525,0.0388866547706
0.0107227141849,0.207135681695
0.00212796668099,0.204774691356
0.000985497287792,0.258492090208
0.00675703959429,0.0429963941514
0.00394697265736,0.0500640527086
0.00313283454443,0.160692173355
0.00463081790692,0.0364422115207
0.014956869664,0.115579807708
0.00721128299575,0.0370592039719
0.00749939520562,0.0491585794691
0.0099007638193,0.0890782760547
0.00567615536378,0.0933187599678
0.00522130790338,0.138087316178
0.00425521588337,0.283472780901
0.021034321157,0.155756377989
0.00237931914125,0.431148459783
0.00620759969978,0.301796672041
0.0136513798415,0.15137538147
0.00183923477374,1.02365065259
0.00819877290375,0.167680135625
0.0115555452936,0.390698889866
0.018545199377,0.145785206544
0.00263691501963,0.23374692862
0.00677245448604,0.0547581142166
0.005195100978,0.0669920319093
0.00473407332978,0.391347667119
0.0125305043955,0.258741211908
0.000137398924846,0.35561401166
0.000464141250352,0.382246016935
0.00349157537483,0.155138806672
0.00172767015839,0.177945288381
0.000428806088121,0.0530782981644
0.00507480131819,0.150426578073
0.00414675006167,0.21615872905
0.0118453240216,0.0819226964463
0.00305737359108,0.293317732168
0.00165416922011,0.127652611947
0.00368457372095,0.221674636893
0.00813047107868,0.0853392946102
0.00470260844059,0.357301613152
0.00337661950533,0.453233740742
0.00454144763295,0.179230997901
0.00687453878969,0.236587447923
0.00612971140873,0.110170635227
0.00267346179467,0.172007018126
0.00264952251783,0.0621497895481
0.00304978048946,0.171951321611
0.00683271156337,0.126944549297
0.00269504009836,0.109794391941
0.0132370052728,0.107098494917
0.00593057110261,0.151433371273
0.00819487385135,0.185990376251
0.00445588535513,0.064450068138
0.00310224192568,0.0692099506632
0.00668719690136,0.075847820682
0.061080293104,0.115451416633
0.0106672029474,0.129796983767
0.00276541182543,0.239664370415
0.00822004045619,0.105334107197
0.000254586441506,0.149483092715
0.00175031397817,0.0596299714663
0.00249469745735,0.141523549212
0.00541741932639,0.242795647909
0.00457633157256,0.0743403423368
0.00770788343339,0.355724934863
0.00232036210858,0.0562958637779
9.65147538731e-05,0.116143743091

5-Fold RMSE:,0.0973155829152,0.109436003589,0.238497045925,0.125000005421,0.125000005421
Average 5-Fold RMSE:,0.136284743146

5-Fold rsquared:,-0.54711158613,-0.0124180056967,-0.127632813261,-0.648260990609,-0.648260990609
Average 5-Fold rsquared:,-0.407739510416
