voronoi_edges,rotError.mean.std
651,0.0051668558009
469,0.127889138475
264,0.00340156190411
288,0.000529720236435
178,0.00274200687267
61,0.000868010041646
92,0.000988470995105
229,0.00429956664055
404,0.00305267434636
305,0.00325076749757
171,0.00162224709611
112,0.00122251686463
104,0.00481593435646
82,0.00139556645188
80,0.00295561424787
114,0.00086073843683
85,0.00087903722649
69,0.00234359606884
234,0.00196300121238
297,0.00475371639426
285,0.00397965134483
159,0.00194485015484
449,0.011229552043
257,0.00728678377751
210,0.0240067761271
337,0.00587163384417
147,0.00364257671701
155,0.00193137045088
85,0.00350567334933
253,0.011540864302
220,0.00169851493892
292,0.00387832424544
287,0.018982936371
189,0.00268365863701
562,0.00951347370549
437,0.0113683540574
303,0.0102189055546
356,0.00279617073466
75,0.00119649202124
216,0.00373159733983
235,0.00435481252733
104,0.00284573492967
320,0.00405173873492
321,0.00258198449888
128,0.00935193660277
211,0.00120964368307
279,0.00544625576124
315,0.0122018643728
193,0.00687929093309
255,0.00319700990545
175,0.00317220657184
282,0.00212895982035
142,0.00283126115696
190,0.00479663990611
146,0.00169591170353
265,0.00167382816322
170,0.00464877681209
263,0.00631663664558
166,0.00267358431567
192,0.00290650421563
172,0.00604227499064
166,0.00633767378436
24,0.000897543822652
123,0.00296056940863
253,0.00514108200771
145,0.0018376947053
246,0.00559589829449
125,0.0018378217927
232,0.00470429841354
295,0.00584007398849
214,0.00290145318257
195,0.0102512932546
248,0.00140772643706
226,0.00163527502515

5-Fold RMSE:,0.00589166171065,0.00298518229441,0.031849331772,0.0137417732058,0.0137417732058
Average 5-Fold RMSE:,0.0118139773991

5-Fold rsquared:,-0.00830111289134,0.0218219182987,-13.1927890629,-3.9822578561,-3.9822578561
Average 5-Fold rsquared:,-3.52520732729
