topology_radius,rotError.numSamples.std
4,4496.65449768
3,1068.57195671
3,257.853455343
3,141.850142792
1,182.929460449
3,2244.05747734
3,3935.77212331
4,2874.5710625
3,363.803157271
3,147.306005198
3,2626.374729
3,108.084781537
3,1084.0791156
1,180.818284498
2,273.731419461
1,642.991734482
4,702.453163625
1,1510.28589149
3,14872.7918784
2,720.79837633
3,9225.92445392
2,3023.39259484
2,2651.41884337
3,24043.8800652
2,1616.41335473
2,8919.29941979
1,1725.55951023
4,1863.36560045
7,624.17813537
4,620.469279434
3,857.003410118
4,5103.87888822
5,1966.19530209
4,1057.23261059
4,1483.83345876
4,3961.17166175
2,165.786311893
4,2139.14201672
4,1428.99660238
2,968.189122803
5,5433.37490878
3,3842.62601996
3,1817.05743137
6,691.528513091
2,8506.08116752
4,3722.68290681
4,1936.04140841
2,4393.41939757
2,1687.4634671
4,2072.14962693
2,383.599850828
3,786.667567909
3,1917.94562562
4,2174.75877982
3,748.389444073
4,2608.69783514
3,1354.24201138
5,490.102011085
3,432.474999277
2,473.088895362
3,597.094712473
3,1136.24840985
4,3100.93252085
3,803.781894131
2,1700.53022844
1,316.936671506
3,2065.32399555
3,1024.40711512
3,350.849437575
3,3504.51641908
3,2631.23148885
3,257.78020405
3,1433.91482635
4,4268.01882728

5-Fold RMSE:,1568.20662485,3899.18957072,5787.34537009,2002.97898009,2002.97898009
Average 5-Fold RMSE:,3209.58080813

5-Fold rsquared:,-0.104426831524,-0.0784071248879,-0.0800110395381,-0.163256687526,-0.163256687526
Average 5-Fold rsquared:,-0.137362946107
