topology_numBifurcationPoints,rotError.mean.std
12,0.00314194787486
8,0.000529720236435
3,0.00274200687267
2,0.000868010041646
1,0.000988470995105
14,0.00396421114784
4,0.00305267434636
5,0.00323725683059
5,0.00162224709611
3,0.00122251686463
5,0.00481593435646
2,0.00139556645188
9,0.00295561424787
3,0.000970277349218
4,0.00087903722649
1,0.00234359606884
9,0.00196300121238
0,0.00475371639426
17,0.00347532974758
4,0.00196074084985
6,0.00290945535533
5,0.0031687609811
9,0.00691864528074
12,0.00176297243951
1,0.00288446249643
2,0.00193137045088
1,0.00350567334933
8,0.0101955133655
12,0.00189316660463
10,0.00409306542765
7,0.0021898122043
3,0.00268365863701
28,0.00416085194839
10,0.00454871802084
15,0.00641385431356
14,0.00357712486121
3,0.00149199568169
10,0.00373159733983
9,0.00227211409784
3,0.00284573492967
15,0.00416717640221
5,0.00429998156474
5,0.00262143524665
22,0.0015716058183
3,0.00295077555546
13,0.00347412036809
5,0.00393376291854
3,0.00199420279203
3,0.00317220657184
12,0.00212895982035
3,0.00283126115696
4,0.00452986510634
7,0.00169591170353
9,0.00167382816322
4,0.00380101619562
5,0.00567736820441
3,0.00200585427637
7,0.00290650421563
4,0.00604227499064
3,0.00633767378436
3,0.00090005519672
5,0.00296056940863
7,0.00379557550738
4,0.0018376947053
6,0.00342684333818
1,0.0018378217927
3,0.0038392713065
11,0.00265952798602
3,0.00290145318257
8,0.127889138475
5,0.00273066403156
4,0.00140772643706
5,0.00163527502515
20,0.00529794026363

5-Fold RMSE:,0.00317986616919,0.00242108855593,0.00276002420155,0.032246593722,0.032246593722
Average 5-Fold RMSE:,0.00865254940805

5-Fold rsquared:,-1.12360285009,-0.0587348321774,-1.33129354605,-0.357893290441,-0.357893290441
Average 5-Fold rsquared:,-6.19621166954
