totalTime,transError.std.mean
7743.55652174,0.610577304348
5871.41333333,0.3833542
2281.97894737,0.198447578947
1354.59642857,0.12269
1659.58214286,0.153758035714
5198.54516129,0.492268548387
5477.86666667,0.531760416667
3536.62173913,0.440496478261
2830.96086957,0.30601326087
1745.23513514,0.133319189189
2208.06285714,0.194677542857
1662.192,0.11035772
1609.00666667,0.139761666667
2145.56944444,0.178345722222
2048.65333333,0.2198439
3052.23428571,0.243437428571
3921.41666667,0.273808166667
3581.27058824,0.338521882353
7052.875,0.61062825
4358.37826087,0.359939652174
9060.99310345,0.588087103448
9315.98928571,0.628137071429
3083.37857143,0.443055071429
10953.65,0.999427916667
5282.52058824,0.398797941176
6047.27826087,0.690604043478
3020.41666667,0.404276533333
3506.38235294,0.493052294118
2408.40952381,0.232889238095
2618.1826087,0.221677130435
3122.75454545,0.341540409091
5479.196,0.65674012
4442.33333333,0.423536259259
3697.00666667,0.4465398
3580.12352941,0.306929823529
5922.8125,0.480697125
1650.44782609,0.108247869565
3048.48125,0.1948145
3913.77777778,0.405104185185
2507.84230769,0.273577115385
8273.10833333,0.694026083333
5024.57727273,0.480950272727
2868.95833333,0.326498583333
5079.84,0.4142652
5964.87241379,0.500458896552
5847.58333333,0.625794366667
2814.78857143,0.379335257143
5177.86829268,0.487031439024
2649.53928571,0.309707785714
7299.80714286,0.515047357143
2228.52666667,0.218116833333
2415.84444444,0.219631666667
3423.01111111,0.310407555556
6119.592,0.50208644
2439.62142857,0.3024675
4293.42333333,0.464581966667
3703.52857143,0.379500214286
3426.39032258,0.286365322581
2134.64666667,0.206892133333
1896.65609756,0.171382926829
4176.48846154,0.324577269231
2596.04,0.287927933333
5151.05,0.50571615625
2637.14444444,0.224714148148
5440.36666667,0.500257916667
1954.06206897,0.153626448276
4110.29615385,0.398803653846
3868.05454545,0.389266045455
2386.22592593,0.203370592593
7405.83571429,0.525956928571
2968.16428571,0.304974964286
2600.284,0.17280424
5058.65263158,0.366907921053
7124.93333333,0.741109166667
