voronoi_std_katz_centrality,rotError.std.mean
0.0624731549568,0.0134886818182
0.063752172964,0.00848306666667
0.0754900972952,0.00990715789474
0.129091206881,0.00666489285714
0.102657659336,0.00854714285714
0.0661008951017,0.0154531111111
0.0502704418861,0.0139629166667
0.0586127538334,0.0142382727273
0.0780340421936,0.00927660869565
0.0939892490074,0.00886394594595
0.0975397092036,0.0103236571429
0.111014569034,0.00831244
0.110099823171,0.0120980666667
0.0929712298051,0.00902981081081
0.108205660452,0.0070672
0.119112086547,0.00862697142857
0.0659829233406,0.0107663448276
0.0585913436971,0.0146358235294
0.0598248730876,0.0153069130435
0.0772516261558,0.00836128571429
0.048109504833,0.0141560606061
0.0637167667236,0.0130143076923
0.0692008974402,0.0213154358974
0.0544424123813,0.0118386923077
0.0841168072726,0.0129007
0.0797494568412,0.0117434782609
0.106868056324,0.0171069
0.0631905584655,0.0201348076923
0.0669254864612,0.00883107692308
0.059006633997,0.00979857575758
0.0592550204987,0.0108434193548
0.0714572904211,0.01273672
0.0434370069683,0.0201676538462
0.0483911660079,0.0242387692308
0.0575331907477,0.0134642666667
0.0534243204259,0.0164263142857
0.114707065441,0.008347
0.0680103608451,0.0136369583333
0.0658075265519,0.0145126
0.0968684562829,0.0110901538462
0.0561712509096,0.0162626538462
0.0581987476898,0.0139900769231
0.0879679595136,0.0113885652174
0.0683610410463,0.00808025641026
0.0597913687418,0.0127977692308
0.0575400519371,0.0142507037037
0.0725973866224,0.0175852258065
0.0657233059386,0.0131790810811
0.0755615846501,0.0140931785714
0.060574938632,0.013008
0.0835822171484,0.0124418666667
0.0738591884147,0.01217428
0.0824780523605,0.0113095
0.0616037184567,0.01085984
0.0755455798348,0.013217275
0.062966882775,0.0138498148148
0.0788806200449,0.00906033333333
0.0722201300189,0.0113865483871
0.0761861508636,0.01360234375
0.0773264365088,0.0114615121951
0.204263905889,0.00809121428571
0.0891668487181,0.0116139666667
0.0628086114111,0.0140091666667
0.0823513570222,0.0103575555556
0.0641495247308,0.0173899090909
0.089069884571,0.0105403103448
0.066034753817,0.0152154583333
0.0594085046862,0.00999909375
0.0680457197775,0.00975977777778
0.0464069089952,0.0581752916667
0.0713808637398,0.00897219230769
0.0637154343161,0.00749868
0.0671155361255,0.00801097368421
0.0394800592855,0.0207175

5-Fold RMSE:,0.00215103505112,0.0120104360879,0.00286179551954,0.00514459289526,0.00514459289526
Average 5-Fold RMSE:,0.00507694903971

5-Fold rsquared:,0.106717320947,0.149161779431,0.387086746984,-0.0383846410193,-0.0383846410193
Average 5-Fold rsquared:,0.161177217767
