edges,transError.mean.std
264,0.145382176939
288,0.0626106276575
178,0.0363222141704
61,0.0240230927776
92,0.0231752964896
229,0.244942705536
404,0.118403445404
305,0.25684750383
171,0.0468835943002
112,0.0525575836354
104,0.0652650350355
82,0.0380406378831
80,0.048698079138
114,0.0471928668924
85,0.015699391456
69,0.0795487657361
234,0.0564341131084
297,0.0634488000674
285,0.157331633444
159,0.225853461955
449,0.120880204555
257,0.192289958812
210,0.0925116985357
337,0.182870156349
147,0.150862439925
155,0.113382526137
85,0.0940625752148
253,0.228409668405
220,0.0484971177734
292,0.0700468458533
287,0.287812908678
189,0.109859637786
562,0.30823195051
437,0.251954545215
303,0.158847840005
356,0.112238353718
75,0.0402882774962
216,0.0467955533351
235,0.1264444763
104,0.0703616797672
320,0.114763250904
321,0.0896356459078
128,0.185040710074
211,0.14370205831
279,0.281651273406
315,0.217198105027
193,0.0868164172079
255,0.121972989288
175,0.0844506183324
282,0.112880779061
142,0.0478290808047
190,0.0419657032537
146,0.063039235743
265,0.0862053699096
170,0.123650418782
263,0.166220167829
166,0.205108169667
192,0.067525357097
172,0.0423677614464
166,0.0754858045801
24,0.0677220225742
123,0.06593977187
253,0.17018166168
145,0.060063217006
246,0.14039673261
125,0.0600886637503
232,0.141798879212
295,0.313625308616
214,0.0554747715395
469,0.114621750347
195,0.22720282762
248,0.0490437767207
226,0.0852449136299
651,0.138300771799
