voronoi_std_eigenvector_centrality,transError.std.std
0.0393741635952,0.210038240515
0.046391247244,0.167837658831
0.061688422116,0.230568556601
0.0628848579041,0.0888341978949
0.0735873626594,0.0536568207547
0.122421627337,0.0531756045959
0.100010706049,0.0388866547706
0.0665140899304,0.207135681695
0.0499869171086,0.204774691356
0.0583048887054,0.258492090208
0.0772599538281,0.0429963941514
0.092355006202,0.0500640527086
0.0942375781658,0.160692173355
0.107306514034,0.0364422115207
0.107707055274,0.115579807708
0.0906409739223,0.0370592039719
0.104297507721,0.0491585794691
0.115439442184,0.0890782760547
0.0650409083878,0.0933187599678
0.0583229555488,0.138087316178
0.0594842394656,0.283472780901
0.0788215763143,0.155756377989
0.0480134270942,0.431148459783
0.0633224148962,0.301796672041
0.0695045297866,0.15137538147
0.0539293297254,1.02365065259
0.0795172592942,0.167680135625
0.0794001997108,0.390698889866
0.103601683322,0.145785206544
0.0621418524861,0.23374692862
0.0664741323194,0.0547581142166
0.0586477113224,0.0669920319093
0.0588844988291,0.391347667119
0.0718074587629,0.258741211908
0.0433166383751,0.35561401166
0.0480981747221,0.382246016935
0.0571208297746,0.155138806672
0.0527148108833,0.177945288381
0.108039224395,0.0530782981644
0.0670363744304,0.150426578073
0.064562611159,0.21615872905
0.095602752891,0.0819226964463
0.0559140808964,0.293317732168
0.057696329759,0.127652611947
0.0863325328339,0.221674636893
0.0684244190537,0.0853392946102
0.0595416486538,0.357301613152
0.0570370754118,0.453233740742
0.0701124270704,0.179230997901
0.0655147896749,0.236587447923
0.0741480740915,0.110170635227
0.0598781678858,0.172007018126
0.0814587853061,0.0621497895481
0.0716576654504,0.171951321611
0.0817727657324,0.126944549297
0.0609360751897,0.109794391941
0.0756944120562,0.107098494917
0.0625710750276,0.151433371273
0.0778171239841,0.185990376251
0.071506866971,0.064450068138
0.0754874067928,0.0692099506632
0.0768360610148,0.075847820682
0.183177866246,0.115451416633
0.0882860014571,0.129796983767
0.0623255741929,0.239664370415
0.0811425974437,0.105334107197
0.063736397957,0.149483092715
0.0876523795269,0.0596299714663
0.0655788298353,0.141523549212
0.0585601819606,0.242795647909
0.0666331321729,0.0743403423368
0.0702204048489,0.355724934863
0.0626679442345,0.0562958637779
0.0665682795308,0.116143743091

5-Fold RMSE:,0.119633798691,0.0969407552319,0.0868491875589,0.121328876329,0.121328876329
Average 5-Fold RMSE:,0.129791253805

5-Fold rsquared:,-0.69833403733,-0.0617383469,0.47469268184,0.114088015995,0.114088015995
Average 5-Fold rsquared:,0.0478883137477
