voronoi_avg_eigenvector_centrality,transError.mean.std
0.0100393514149,0.128810550931
0.0105135767838,0.0626106276575
0.0172969873425,0.0363222141704
0.0409830675628,0.0240230927776
0.0273961100812,0.0231752964896
0.00775762679381,0.12471567563
0.00574053025445,0.118403445404
0.00607997285304,0.105974371826
0.0128790084879,0.0468835943002
0.017891627974,0.0525575836354
0.0253591873935,0.0652650350355
0.0288269155167,0.0380406378831
0.0272922929883,0.048698079138
0.0219058444332,0.0465531383268
0.0297781088292,0.015699391456
0.0309749814202,0.0795487657361
0.0124757824752,0.0609893108178
0.00765770647817,0.0634488000674
0.00766469551654,0.121656676099
0.0140504632514,0.108765944747
0.00385958981256,0.116482183881
0.00941447966977,0.123971354033
0.0120101922236,0.117014135854
0.00768026339488,0.093854286797
0.0286332432184,0.0949115380575
0.0137519009375,0.113382526137
0.0321153716337,0.0940625752148
0.0117639351235,0.143229486163
0.0102993499896,0.0476951664389
0.00831972874981,0.0815122877936
0.00813539809992,0.0482871281887
0.0103366706799,0.109859637786
0.00323439217057,0.0815752280843
0.00533722428878,0.0639775660122
0.00771167569822,0.0966037993107
0.00884825240827,0.130209711384
0.0385411562993,0.0344430098623
0.0125414231222,0.0825251437691
0.013397586622,0.0787229033116
0.0195939573205,0.0703616797672
0.00617839133906,0.136893046155
0.00780794728565,0.131748844655
0.0172809652214,0.0638479804609
0.00757861267376,0.0832238780337
0.00720516326982,0.112655965246
0.00830849954476,0.0882750414235
0.0193714444817,0.0630703094014
0.00863855085793,0.0904968358626
0.0157857386681,0.0844506183324
0.00954335364902,0.0812632064472
0.0189069640465,0.0478290808047
0.0181565375695,0.0665534059179
0.0127487196601,0.063039235743
0.00943801405487,0.0862053699096
0.0123575452517,0.0951669768786
0.0092119796945,0.0936298052555
0.0152906308222,0.083845172989
0.0110621006247,0.067525357097
0.0107519721017,0.0711609699581
0.0109688701912,0.0754858045801
0.109089022235,0.0666286445176
0.0164346608041,0.06593977187
0.00825178595754,0.119219125795
0.0162847765897,0.060063217006
0.00727309513956,0.0967598598958
0.0159238280504,0.0600886637503
0.00813813888448,0.103345628507
0.0113764647388,0.0960266591481
0.0145323256063,0.0554747715395
0.00351487462818,0.117509395197
0.014957737734,0.0976733690521
0.011737521707,0.0490437767207
0.00855386841229,0.0852449136299
0.00348930382443,0.18024925237

5-Fold RMSE:,0.0264370665268,0.0234700043633,0.0354324829226,0.060079292772,0.060079292772
Average 5-Fold RMSE:,0.0343843350454

5-Fold rsquared:,0.262560101436,-0.139137456932,-15.2743798535,-0.609632058269,-0.609632058269
Average 5-Fold rsquared:,-3.2162061406
