roomPerimeter,transError.std.std
1588.62791478,0.197657005465
1351.09384402,0.0888341978949
458.622966465,0.0536568207547
125.926169628,0.0531756045959
302.601396954,0.0388866547706
501.062394277,0.207135681695
1837.42341771,0.204774691356
688.861804167,0.258492090208
662.793955846,0.0429963941514
345.129490021,0.0500640527086
456.293929549,0.160692173355
315.925559425,0.0364422115207
243.357074819,0.115579807708
409.663330218,0.0370592039719
203.831915727,0.0491585794691
608.510749633,0.0890782760547
811.724322072,0.092571482715
789.405453777,0.138087316178
498.214112703,0.283472780901
349.485622363,0.155756377989
623.087494685,0.273444335576
506.227250231,0.301796672041
469.640967896,0.15137538147
470.629120514,1.09223982879
343.406315926,0.167680135625
349.626511091,0.390698889866
503.178792264,0.145785206544
824.277775057,0.23374692862
481.48305766,0.0547581142166
859.077312371,0.0669920319093
1023.76949412,0.391347667119
1483.77049838,0.258741211908
1208.95867135,0.35561401166
1173.67459887,0.382246016935
537.162909983,0.155138806672
845.005713505,0.177945288381
279.62861162,0.0530782981644
780.915742482,0.0549553057413
909.128599512,0.21615872905
623.395444333,0.0819226964463
787.160481335,0.293317732168
551.960813093,0.127652611947
655.096395443,0.221674636893
1086.4876646,0.0853392946102
1357.05101607,0.357301613152
1113.23214774,0.453233740742
636.640571297,0.179230997901
883.283838598,0.236587447923
638.505269241,0.110170635227
1290.51989442,0.188751485919
474.810346145,0.0621497895481
502.295701425,0.0834510200204
687.882051882,0.126944549297
1293.11063322,0.109794391941
602.61103687,0.107098494917
864.15979835,0.151433371273
846.661098224,0.185990376251
687.49670878,0.064450068138
454.8062828,0.0378693543451
406.40042891,0.075847820682
865.683726415,0.117333490955
580.17017166,0.129796983767
551.429068269,0.239664370415
620.854347876,0.105334107197
651.012500721,0.149483092715
367.406975129,0.0596299714663
1075.51367261,0.141523549212
533.159488544,0.294155507688
377.956377889,0.0743403423368
747.238694267,0.198682666526
900.193877884,0.355724934863
496.333168951,0.0562958637779
1394.54206022,0.116143743091
837.315270419,0.177137692319
