voronoi_diameter,rotError.mean.std
52,0.0051668558009
49,0.127889138475
28,0.00340156190411
36,0.000529720236435
29,0.00274200687267
11,0.000868010041646
22,0.000988470995105
26,0.00429956664055
39,0.00305267434636
38,0.00325076749757
39,0.00162224709611
31,0.00122251686463
27,0.00481593435646
19,0.00139556645188
19,0.00295561424787
26,0.00086073843683
16,0.00087903722649
20,0.00234359606884
39,0.00196300121238
38,0.00475371639426
41,0.00397965134483
24,0.00194485015484
51,0.011229552043
44,0.00728678377751
21,0.0240067761271
31,0.00587163384417
18,0.00364257671701
27,0.00193137045088
16,0.00350567334933
45,0.011540864302
43,0.00169851493892
37,0.00387832424544
30,0.018982936371
36,0.00268365863701
44,0.00951347370549
55,0.0113683540574
38,0.0102189055546
41,0.00279617073466
15,0.00119649202124
28,0.00373159733983
31,0.00435481252733
24,0.00284573492967
39,0.00405173873492
51,0.00258198449888
34,0.00935193660277
43,0.00120964368307
34,0.00544625576124
40,0.0122018643728
28,0.00687929093309
40,0.00319700990545
24,0.00317220657184
31,0.00212895982035
31,0.00283126115696
23,0.00479663990611
33,0.00169591170353
45,0.00167382816322
26,0.00464877681209
31,0.00631663664558
27,0.00267358431567
46,0.00290650421563
30,0.00604227499064
28,0.00633767378436
8,0.000897543822652
31,0.00296056940863
38,0.00514108200771
28,0.0018376947053
31,0.00559589829449
25,0.0018378217927
32,0.00470429841354
27,0.00584007398849
35,0.00290145318257
30,0.0102512932546
35,0.00140772643706
29,0.00163527502515

5-Fold RMSE:,0.00584346198008,0.0321732528445,0.00455528540705,0.004235677346,0.004235677346
Average 5-Fold RMSE:,0.0103624818503

5-Fold rsquared:,-0.6930788151,-0.976572088505,-0.0436599317771,-1.51195476391,-1.51195476391
Average 5-Fold rsquared:,-0.778129706149
