topology_avg_shortest_path_length,transError.numSamples.mean
3.14957983193,8502.88888889
2.80139372822,4291.20833333
3.64146341463,5073.26086957
2.80666666667,2208.2
2.88461538462,533.736842105
2.95555555556,281.035714286
1.81818181818,375.75
2.93524514339,3820.06451613
2.42674253201,4729.04166667
3.34420289855,3357.30434783
3.15789473684,1109.95652174
2.8380952381,244.540540541
3.17647058824,830.8
2.67619047619,180.0
2.5,450.733333333
1.84166666667,457.388888889
2.20952380952,628.1
1.875,954.971428571
3.83333333333,914.034482759
1.33333333333,2059.76470588
3.01572617946,8900.875
2.42105263158,2142.7826087
2.41971207087,9951.88235294
2.11076923077,5881.21428571
2.2315270936,3028.03571429
3.30837789661,12817.0714286
2.26900584795,2496.67647059
2.45789473684,8121.34782609
1.89473684211,2459.1
3.25057471264,3998.88235294
5.47297297297,716.857142857
3.16516516517,843.47826087
3.05378151261,3702.36363636
2.96666666667,6648.12
3.94674859191,4365.44444444
3.25314009662,4280.06666667
3.77570921986,1701.35294118
3.70512820513,3879.09375
2.37179487179,189.695652174
3.66794871795,1054.375
3.36088709677,2765.85185185
2.48529411765,1206.76923077
3.90592334495,6532.5
3.395256917,3173.27272727
2.68095238095,2456.83333333
4.77874396135,2281.8
2.55632183908,6061.31034483
3.71025641026,8307.2
3.34757834758,2598.6
2.76608187135,3927.24390244
2.28333333333,1492.89285714
3.73504273504,3379.41666667
2.64761904762,655.766666667
2.37368421053,964.583333333
3.44268774704,1611.27777778
3.92745376956,3842.36
2.52536231884,1384.0
3.04,3280.36666667
3.25789473684,2484.47619048
4.3908045977,1119.77419355
2.94805194805,581.0
2.59166666667,510.341463415
2.97076023392,1274.18518519
3.07352941176,1420.46666667
3.49411764706,4234.0625
3.01904761905,754.666666667
2.4183908046,3208.20833333
1.85833333333,407.793103448
2.83333333333,2487.5
2.65378151261,2474.48571429
2.55,609.074074074
2.57608695652,2976.25
2.34502923977,461.08
2.6091954023,1971.81578947

5-Fold RMSE:,4129.8135329,2330.80719764,2376.96716261,1753.63848134,1753.63848134
Average 5-Fold RMSE:,2499.55172871

5-Fold rsquared:,-0.0202129986956,-0.1235005325,-0.812111208624,-0.0616165875189,-0.0616165875189
Average 5-Fold rsquared:,-0.214074204865
