numBifurcationPoints,rotError.mean.std
131,0.00331315133626
162,0.000529720236435
88,0.00274200687267
28,0.000868010041646
44,0.000988470995105
93,0.00429956664055
197,0.00305267434636
146,0.00325076749757
85,0.00162224709611
52,0.00122251686463
48,0.00481593435646
39,0.00139556645188
38,0.00295561424787
52,0.00086073843683
41,0.00087903722649
32,0.00234359606884
114,0.00188456667166
145,0.00475371639426
119,0.00397965134483
68,0.00194485015484
195,0.0029966941151
107,0.00728678377751
98,0.0240067761271
126,0.00627694262703
66,0.00364257671701
58,0.00193137045088
41,0.00350567334933
125,0.011540864302
107,0.00169851493892
145,0.00387832424544
141,0.018982936371
92,0.00268365863701
268,0.00951347370549
214,0.0113683540574
145,0.0102189055546
178,0.00279617073466
36,0.00119649202124
104,0.00356308331189
117,0.00435481252733
49,0.00284573492967
160,0.00405173873492
159,0.00258198449888
62,0.00935193660277
102,0.00120964368307
137,0.00544625576124
155,0.0122018643728
94,0.00687929093309
135,0.00319700990545
84,0.00317220657184
144,0.00270284127902
67,0.00283126115696
90,0.00237693489734
71,0.00169591170353
126,0.00167382816322
81,0.00464877681209
134,0.00631663664558
82,0.00267358431567
94,0.00290650421563
80,0.00632801513764
74,0.00633767378436
13,0.000912842598408
58,0.00296056940863
123,0.00514108200771
65,0.0018376947053
121,0.00559589829449
60,0.0018378217927
111,0.00470429841354
148,0.00708596426669
101,0.00290145318257
228,0.00205404963873
93,0.0102512932546
119,0.00140772643706
112,0.00163527502515
324,0.0038489765622
