topology_edges,transError.std.std
54,0.210038240515
48,0.167837658831
48,0.230568556601
32,0.0888341978949
13,0.0536568207547
10,0.0531756045959
12,0.0388866547706
63,0.207135681695
43,0.204774691356
26,0.258492090208
23,0.0429963941514
14,0.0500640527086
16,0.160692173355
15,0.0364422115207
22,0.115579807708
19,0.0370592039719
18,0.0491585794691
15,0.0890782760547
30,0.0933187599678
2,0.138087316178
67,0.283472780901
21,0.155756377989
49,0.431148459783
32,0.301796672041
41,0.15137538147
37,1.02365065259
18,0.167680135625
19,0.390698889866
18,0.145785206544
36,0.23374692862
42,0.0547581142166
46,0.0669920319093
39,0.391347667119
24,0.258741211908
90,0.35561401166
57,0.382246016935
57,0.155138806672
63,0.177945288381
13,0.0530782981644
47,0.150426578073
35,0.21615872905
16,0.0819226964463
51,0.293317732168
23,0.127652611947
23,0.221674636893
59,0.0853392946102
30,0.357301613152
50,0.453233740742
29,0.179230997901
19,0.236587447923
18,0.110170635227
32,0.172007018126
20,0.0621497895481
21,0.171951321611
26,0.126944549297
43,0.109794391941
25,0.107098494917
26,0.151433371273
20,0.185990376251
31,0.064450068138
22,0.0692099506632
15,0.075847820682
18,0.115451416633
16,0.129796983767
37,0.239664370415
20,0.105334107197
35,0.149483092715
17,0.0596299714663
39,0.141523549212
46,0.242795647909
17,0.0743403423368
27,0.355724934863
21,0.0562958637779
35,0.116143743091

5-Fold RMSE:,0.230529774546,0.100452245621,0.0727074643321,0.114554139886,0.114554139886
Average 5-Fold RMSE:,0.123121375918

5-Fold rsquared:,0.454343936845,-0.169040939509,0.101797542348,-0.0530461215914,-0.0530461215914
Average 5-Fold rsquared:,0.033601303261
