area,transError.mean.mean
3629.2829625,0.507673043478
3749.9122125,0.347489733333
515.11,0.178033842105
92.620625,0.111519571429
419.118560455,0.135674892857
268.7265625,0.567853258065
2711.72494554,0.483538
1020.60351562,0.364766782609
1120.46556127,0.266804521739
441.159665625,0.136014027027
768.704681585,0.1602634
375.53625,0.11330008
214.91426475,0.120517266667
626.622469523,0.168592444444
121.8046875,0.1753349
1233.26750596,0.250973828571
2003.5,0.267063583333
1244.54759766,0.275744352941
279.4009375,0.572332
256.2996875,0.401876478261
434.9653125,0.554770068966
397.378125,0.601016714286
300.230625,0.428635214286
325.31,0.545607833333
231.629375,0.392818764706
235.2825,0.511895521739
547.4859375,0.3828526
1196.88557207,0.480142294118
322.763125,0.200632047619
1235.16935698,0.214672086957
1486.08538919,0.310588818182
5351.94959335,0.63580396
1312.1154,0.357241074074
1269.8764875,0.322165133333
290.0184375,0.302912058824
704.7703125,0.44758759375
323.6559375,0.0879599565217
786.936585364,0.20017225
1276.3958515,0.388622
1203.42228531,0.297397730769
774.963125,0.663971375
786.40125,0.551063954545
1054.32679687,0.31300125
1224.61670978,0.4318884
2419.47625,0.465919793103
1934.39945026,0.471419
852.118300775,0.317696542857
2354.8528125,0.366169390244
1177.07375,0.301987178571
3249.62426032,0.400407571429
654.106850714,0.2053401
657.353612623,0.194334555556
1073.86429004,0.273704222222
2396.76446011,0.42013416
1041.21327443,0.323464547619
1933.90139917,0.429869033333
1647.76381253,0.367336428571
1218.21311288,0.283932129032
566.726642893,0.224394466667
566.381786317,0.191225219512
2313.45559827,0.285115615385
1184.450625,0.3031
459.930625,0.475740875
1119.8547,0.236201074074
734.15,0.54542925
534.7525,0.154262137931
1631.6725,0.423788730769
365.2209375,0.381827136364
460.9959375,0.189719777778
707.949375,0.489469857143
1710.57095749,0.29107
739.903125,0.17891308
2306.9446875,0.367190842105
441.6625,0.55025675
