nodes,transError.std.mean
256,0.610577304348
246,0.3833542
175,0.198447578947
60,0.12269
93,0.153758035714
223,0.492268548387
395,0.531760416667
291,0.440496478261
163,0.30601326087
113,0.133319189189
105,0.194677542857
81,0.11035772
81,0.139761666667
115,0.178345722222
85,0.2198439
70,0.243437428571
228,0.273808166667
289,0.338521882353
278,0.61062825
156,0.359939652174
431,0.588087103448
244,0.628137071429
201,0.443055071429
337,0.999427916667
140,0.398797941176
154,0.690604043478
85,0.404276533333
250,0.493052294118
221,0.232889238095
285,0.221677130435
283,0.341540409091
190,0.65674012
530,0.423536259259
427,0.4465398
301,0.306929823529
350,0.480697125
76,0.108247869565
215,0.1948145
230,0.405104185185
105,0.273577115385
316,0.694026083333
295,0.480950272727
129,0.326498583333
211,0.4142652
278,0.500458896552
301,0.625794366667
189,0.379335257143
229,0.487031439024
174,0.309707785714
272,0.515047357143
143,0.218116833333
183,0.219631666667
146,0.310407555556
263,0.50208644
170,0.3024675
250,0.464581966667
159,0.379500214286
191,0.286365322581
172,0.206892133333
166,0.171382926829
22,0.324577269231
124,0.287927933333
253,0.50571615625
146,0.224714148148
243,0.500257916667
126,0.153626448276
229,0.398803653846
281,0.389266045455
215,0.203370592593
462,0.525956928571
194,0.304974964286
246,0.17280424
222,0.366907921053
640,0.741109166667
