std_katz_centrality,transError.numSamples.std
0.0624731549568,5234.2224285
0.063752172964,1068.57195671
0.0754900972952,257.853455343
0.129091206881,141.850142792
0.102657659336,182.929460449
0.0661008951017,3510.04999446
0.0502704418861,3935.77212331
0.0586127538334,4927.43898941
0.0780340421936,363.803157271
0.0939892490074,147.306005198
0.0975397092036,2626.374729
0.111014569034,108.084781537
0.110099823171,1084.0791156
0.0929712298051,183.153742003
0.108205660452,273.731419461
0.119112086547,642.991734482
0.0659829233406,736.775631788
0.0585913436971,1510.28589149
0.0598248730876,14727.7449601
0.0772516261558,2308.33572565
0.048109504833,9784.61316845
0.0637167667236,8108.00744572
0.0692008974402,2866.01159506
0.0544424123813,25803.4507764
0.0841168072726,2219.38941949
0.0797494568412,8919.29941979
0.106868056324,1725.55951023
0.0631905584655,3228.66340734
0.0669254864612,308.046732032
0.059006633997,701.623265043
0.0592550204987,12253.024445
0.0714572904211,5103.87888822
0.0434370069683,12190.977691
0.0483911660079,10206.0904135
0.0575331907477,1947.88730019
0.0534243204259,4006.02426321
0.114707065441,189.939449112
0.0680103608451,338.663728636
0.0658075265519,4015.83521781
0.0968684562829,968.189122803
0.0561712509096,5532.41528027
0.0581987476898,1328.17120275
0.0879679595136,4913.35122961
0.0683610410463,897.213776087
0.0597913687418,12782.2996962
0.0575400519371,15884.6134701
0.0725973866224,3217.32940007
0.0657233059386,4350.15152402
0.0755615846501,1687.4634671
0.060574938632,2927.87105563
0.0835822171484,383.599850828
0.0738591884147,379.749169978
0.0824780523605,1917.94562562
0.0616037184567,2174.75877982
0.0755455798348,1102.42140417
0.062966882775,2925.49410622
0.0788806200449,3355.85891523
0.0722201300189,490.102011085
0.0761861508636,175.644666554
0.0773264365088,473.088895362
0.204263905889,617.028443908
0.0891668487181,1136.24840985
0.0628086114111,4289.42952164
0.0823513570222,803.781894131
0.0641495247308,1881.63948857
0.089069884571,316.936671506
0.066034753817,2151.72678867
0.0594085046862,6754.77336762
0.0680457197775,350.849437575
0.0464069089952,3895.98161441
0.0713808637398,9293.22106863
0.0637154343161,257.78020405
0.0671155361255,1433.91482635
0.0394800592855,4998.19879432
