topology_radius,transError.std.mean
4,0.597974409091
3,0.3833542
3,0.198447578947
3,0.12269
1,0.153758035714
3,0.443964518519
3,0.531760416667
4,0.402073772727
3,0.30601326087
3,0.133319189189
3,0.194677542857
3,0.11035772
3,0.139761666667
1,0.178360027027
2,0.2198439
1,0.243437428571
4,0.256086724138
1,0.338521882353
3,0.583932391304
2,0.325802619048
3,0.59423269697
2,0.577431384615
2,0.38375874359
3,0.698436384615
2,0.3659623
2,0.690604043478
1,0.404276533333
4,0.441453846154
7,0.237735884615
4,0.225124575758
3,0.256219483871
4,0.65674012
5,0.358577384615
4,0.362996384615
4,0.287370933333
4,0.50726
2,0.0964399411765
4,0.236416833333
4,0.35981112
2,0.273577115385
5,0.702296269231
3,0.558222807692
3,0.282527217391
6,0.292004974359
2,0.441571769231
4,0.501131740741
4,0.346335935484
2,0.466183297297
2,0.309707785714
4,0.503770083333
2,0.218116833333
3,0.1932868
3,0.310407555556
4,0.50208644
3,0.29558275
4,0.442420407407
3,0.337067487179
5,0.286365322581
3,0.19540578125
2,0.171382926829
3,0.327402357143
3,0.287927933333
4,0.466749133333
3,0.224714148148
2,0.483949818182
1,0.153626448276
3,0.380862583333
3,0.2900733125
3,0.203370592593
3,0.522405666667
3,0.237020576923
3,0.17280424
3,0.366907921053
4,0.789124346154

5-Fold RMSE:,0.14337430431,0.200641366653,0.186088815412,0.105075478048,0.105075478048
Average 5-Fold RMSE:,0.156102868681

5-Fold rsquared:,0.0848796884703,-0.117489873984,0.0546963563847,0.0448055054828,0.0448055054828
Average 5-Fold rsquared:,-0.0187259971661
