voronoi_radius,rotError.std.std
14,0.00570813314798
18,0.00238204213415
15,0.00443794731193
6,0.00221181244909
11,0.00124875791759
19,0.00692890029398
20,0.00526352379524
19,0.00916339305052
20,0.00109827381314
16,0.001820392131
14,0.0115835540733
10,0.00242628577179
10,0.00881799279479
13,0.00156947572306
9,0.00133593491358
10,0.0033034977955
20,0.00427790386373
19,0.010818340273
21,0.0073614093577
16,0.0020421627691
40,0.00882900353326
22,0.0056069691509
11,0.00964521917124
16,0.0102373131119
9,0.00694223066048
14,0.00719629727175
12,0.00729724936466
23,0.00941862106525
22,0.00165015637774
19,0.00327309840264
17,0.00344135860057
18,0.00431503222254
23,0.00820748297377
28,0.038374045582
21,0.00800000789555
22,0.00653686665775
8,0.0030003076901
17,0.00533292057631
18,0.00671912860422
12,0.00480609803905
20,0.00899802736477
26,0.00879950207474
17,0.0034406223505
22,0.00161564506
20,0.00646094092521
20,0.00512121237682
14,0.00772600753931
20,0.00810460207062
14,0.00596216482169
16,0.00468461053166
16,0.00290363576381
12,0.00727200671353
17,0.00593740494427
23,0.0031691424541
18,0.00360718859354
16,0.00760278416857
14,0.00281495176744
23,0.00295568783369
15,0.00587875703598
14,0.00492444947089
4,0.00274550707465
16,0.00668196581096
19,0.00693703706243
14,0.00651974844058
19,0.0105001485137
13,0.00348419817228
18,0.00672065780498
15,0.00427584456832
18,0.0034764729288
29,0.218382402573
16,0.0062202472559
20,0.00201918335413
15,0.00303309851547
27,0.00630615992045

5-Fold RMSE:,0.0183734252234,0.00712316360725,0.00876588301956,0.00784178859616,0.00784178859616
Average 5-Fold RMSE:,0.0196096058918

5-Fold rsquared:,-4.37733912294,-0.0128006102843,0.235706296158,-11.1743388173,-11.1743388173
Average 5-Fold rsquared:,-4.83753262218
