voronoi_avg_betweenness_centrality,transError.numSamples.std
0.0321313931569,4574.73377354
0.0419426953002,3504.51641908
0.0453083989501,4516.12281977
0.0506431441029,1068.57195671
0.0688565543818,257.853455343
0.0824956165985,141.850142792
0.0912411571598,182.929460449
0.0512248343955,3510.04999446
0.0385499044432,3935.77212331
0.0533682183273,4927.43898941
0.0847704008547,363.803157271
0.101026753682,147.306005198
0.100138696255,2626.374729
0.0960540709486,108.084781537
0.0959134239725,1084.0791156
0.0856861275929,183.153742003
0.0833181465357,273.731419461
0.112872975277,642.991734482
0.0679895520642,702.453163625
0.0467709082677,1510.28589149
0.055920167335,14727.7449601
0.0682366021076,2308.33572565
0.0536409255235,15286.2712796
0.0538211780553,8108.00744572
0.0425393134828,2866.01159506
0.0415603204832,24073.9681947
0.0510232807543,2219.38941949
0.072659366777,8919.29941979
0.0848503256724,1725.55951023
0.0649559528436,3228.66340734
0.0723839147691,308.046732032
0.0474747686416,701.623265043
0.0472698785658,12253.024445
0.076188994946,5103.87888822
0.0313445517341,12190.977691
0.0454936627156,10206.0904135
0.0511352348359,1947.88730019
0.0479590290814,4006.02426321
0.089848269322,189.939449112
0.0560749704341,2139.14201672
0.0530579343746,4015.83521781
0.086418435933,968.189122803
0.049189456212,5532.41528027
0.0737227337282,1328.17120275
0.0905225691265,4913.35122961
0.0702205751345,897.213776087
0.0510723425654,12782.2996962
0.0494197342933,15884.6134701
0.0589674081539,3217.32940007
0.0637462112276,4350.15152402
0.0632373186978,1687.4634671
0.0478339121627,2072.14962693
0.0796291911066,383.599850828
0.0541567842537,2014.30380687
0.0824194352595,1917.94562562
0.0622521680655,2174.75877982
0.0650717683523,1102.42140417
0.0503509521959,2925.49410622
0.0720605736997,3355.85891523
0.0833692725123,490.102011085
0.0656786745706,432.474999277
0.0642846329887,473.088895362
0.137012987013,606.727838005
0.0982316750719,1136.24840985
0.0588473635416,4289.42952164
0.0797518763449,803.781894131
0.0519919002253,1881.63948857
0.0719211469534,316.936671506
0.0543909260484,2151.72678867
0.0407834101382,5518.65907301
0.0591222769494,350.849437575
0.058391423179,9293.22106863
0.0566914730706,257.78020405
0.0557387498564,1433.91482635

5-Fold RMSE:,5730.22931,4192.04974785,2557.96082159,4152.20874493,4152.20874493
Average 5-Fold RMSE:,3950.25052977

5-Fold rsquared:,-0.413027814223,0.124904629222,0.126869584293,-0.169689569505,-0.169689569505
Average 5-Fold rsquared:,-0.0256049442537
