perimeter,transError.mean.mean
919.385854688,0.507673043478
845.094809668,0.347489733333
400.830204991,0.178033842105
104.798400009,0.111519571429
297.255462487,0.135674892857
175.184877189,0.567853258065
975.710287307,0.483538
661.864870045,0.364766782609
461.959330453,0.266804521739
301.700928702,0.136014027027
395.362041332,0.1602634
266.76921056,0.11330008
190.183623926,0.120517266667
384.28900186,0.168592444444
169.305586218,0.1753349
547.895428741,0.250973828571
663.883925852,0.267063583333
569.465956684,0.275744352941
277.253593842,0.572332
186.385475943,0.401876478261
266.853191731,0.554770068966
251.520417083,0.601016714286
217.978099666,0.428635214286
413.568733758,0.545607833333
161.46910584,0.392818764706
333.320883456,0.511895521739
348.726342602,0.3828526
582.414195881,0.480142294118
416.287346717,0.200632047619
602.450956601,0.214672086957
625.529006956,0.310588818182
1411.67024864,0.63580396
687.006424965,0.357241074074
804.802666284,0.322165133333
325.157616123,0.302912058824
394.105092531,0.44758759375
254.907573617,0.0879599565217
512.058047582,0.20017225
574.390274931,0.388622
577.749460923,0.297397730769
462.202334131,0.663971375
542.151199633,0.551063954545
607.353417602,0.31300125
895.078361009,0.4318884
810.652971073,0.465919793103
791.247099826,0.471419
523.504495381,0.317696542857
642.501394841,0.366169390244
438.695516966,0.301987178571
921.061208435,0.400407571429
425.51985706,0.2053401
383.553654629,0.194334555556
611.004216827,0.273704222222
1094.05395026,0.42013416
396.724658884,0.323464547619
623.982104305,0.429869033333
673.355919531,0.367336428571
614.642509546,0.283932129032
383.053807066,0.224394466667
377.554649486,0.191225219512
798.372831181,0.285115615385
541.589338691,0.3031
479.641424654,0.475740875
562.534496366,0.236201074074
398.050280897,0.54542925
346.945664463,0.154262137931
629.847164937,0.423788730769
243.197749682,0.381827136364
431.988152916,0.189719777778
476.307895935,0.489469857143
609.954365264,0.29107
446.124179764,0.17891308
1033.37498647,0.367190842105
383.710764507,0.55025675
