topology_avg_shortest_path_length,transError.std.std
3.64146341463,0.226872799473
2.80666666667,0.0888341978949
2.88461538462,0.0536568207547
2.95555555556,0.0531756045959
1.81818181818,0.0388866547706
2.93524514339,0.156091446153
2.42674253201,0.204774691356
3.34420289855,0.189473879231
3.15789473684,0.0429963941514
2.8380952381,0.0500640527086
3.17647058824,0.160692173355
2.67619047619,0.0364422115207
2.5,0.115579807708
1.84166666667,0.0365550743802
2.20952380952,0.0491585794691
1.875,0.0890782760547
3.83333333333,0.0933187599678
1.33333333333,0.138087316178
3.01572617946,0.258353516079
2.42105263158,0.0779121061829
2.41971207087,0.259494989064
2.11076923077,0.214149069586
2.2315270936,0.160472378798
3.30837789661,0.578481679757
2.26900584795,0.14193715639
2.45789473684,0.390698889866
1.89473684211,0.145785206544
3.25057471264,0.196101691352
5.47297297297,0.0540020208264
3.16516516517,0.0639730578518
3.05378151261,0.0642383791162
2.96666666667,0.258741211908
3.94674859191,0.131888311652
3.25314009662,0.126072926139
3.77570921986,0.124697260981
3.70512820513,0.192108034661
2.37179487179,0.0517409309399
3.66794871795,0.150426578073
3.36088709677,0.141387393986
2.48529411765,0.0819226964463
3.90592334495,0.284322556163
3.395256917,0.268748777682
2.68095238095,0.0698040570684
4.77874396135,0.0777311359681
2.55632183908,0.221015525555
3.71025641026,0.170190402896
3.34757834758,0.10685390071
2.76608187135,0.237490765274
2.28333333333,0.110170635227
3.73504273504,0.172007018126
2.64761904762,0.0621497895481
2.37368421053,0.110615023941
3.44268774704,0.126944549297
3.92745376956,0.109794391941
2.52536231884,0.0809823194632
3.04,0.12386252947
3.25789473684,0.0966363792344
4.3908045977,0.064450068138
2.94805194805,0.0692099506632
2.59166666667,0.075847820682
2.97076023392,0.113532147819
3.07352941176,0.129796983767
3.49411764706,0.192206970562
3.01904761905,0.105334107197
2.4183908046,0.145524364411
1.85833333333,0.0596299714663
2.83333333333,0.130217601143
2.65378151261,0.0974594238893
2.55,0.0743403423368
2.80139372822,0.167837658831
2.57608695652,0.168709916846
2.34502923977,0.0562958637779
2.6091954023,0.116143743091
3.14957983193,0.206076064429

5-Fold RMSE:,0.0779269465561,0.120502833912,0.0902243046223,0.0705358679546,0.0705358679546
Average 5-Fold RMSE:,0.0859111344314

5-Fold rsquared:,-0.93902498103,0.0276341653311,0.0302696740075,-0.0471413115188,-0.0471413115188
Average 5-Fold rsquared:,-0.205132300114
