voronoi_avg_eigenvector_centrality,rotError.std.std
0.0100393514149,0.00570813314798
0.0105135767838,0.00238204213415
0.0172969873425,0.00443794731193
0.0409830675628,0.00221181244909
0.0273961100812,0.00124875791759
0.00775762679381,0.00692890029398
0.00574053025445,0.00526352379524
0.00607997285304,0.00916339305052
0.0128790084879,0.00109827381314
0.017891627974,0.001820392131
0.0253591873935,0.0115835540733
0.0288269155167,0.00242628577179
0.0272922929883,0.00881799279479
0.0219058444332,0.00156947572306
0.0297781088292,0.00133593491358
0.0309749814202,0.0033034977955
0.0124757824752,0.00427790386373
0.00765770647817,0.010818340273
0.00766469551654,0.0073614093577
0.0140504632514,0.0020421627691
0.00385958981256,0.00882900353326
0.00941447966977,0.0056069691509
0.0120101922236,0.00964521917124
0.00768026339488,0.0102373131119
0.0286332432184,0.00694223066048
0.0137519009375,0.00719629727175
0.0321153716337,0.00729724936466
0.0117639351235,0.00941862106525
0.0102993499896,0.00165015637774
0.00831972874981,0.00327309840264
0.00813539809992,0.00344135860057
0.0103366706799,0.00431503222254
0.00323439217057,0.00820748297377
0.00533722428878,0.038374045582
0.00771167569822,0.00800000789555
0.00884825240827,0.00653686665775
0.0385411562993,0.0030003076901
0.0125414231222,0.00533292057631
0.013397586622,0.00671912860422
0.0195939573205,0.00480609803905
0.00617839133906,0.00899802736477
0.00780794728565,0.00879950207474
0.0172809652214,0.0034406223505
0.00757861267376,0.00161564506
0.00720516326982,0.00646094092521
0.00830849954476,0.00512121237682
0.0193714444817,0.00772600753931
0.00863855085793,0.00810460207062
0.0157857386681,0.00596216482169
0.00954335364902,0.00468461053166
0.0189069640465,0.00290363576381
0.0181565375695,0.00727200671353
0.0127487196601,0.00593740494427
0.00943801405487,0.0031691424541
0.0123575452517,0.00360718859354
0.0092119796945,0.00760278416857
0.0152906308222,0.00281495176744
0.0110621006247,0.00295568783369
0.0107519721017,0.00587875703598
0.0109688701912,0.00492444947089
0.109089022235,0.00274550707465
0.0164346608041,0.00668196581096
0.00825178595754,0.00693703706243
0.0162847765897,0.00651974844058
0.00727309513956,0.0105001485137
0.0159238280504,0.00348419817228
0.00813813888448,0.00672065780498
0.0113764647388,0.00427584456832
0.0145323256063,0.0034764729288
0.00351487462818,0.218382402573
0.014957737734,0.0062202472559
0.011737521707,0.00201918335413
0.00855386841229,0.00303309851547
0.00348930382443,0.00630615992045

5-Fold RMSE:,0.00511709025972,0.00497514278256,0.0546179919174,0.00889017595426,0.00889017595426
Average 5-Fold RMSE:,0.015822270241

5-Fold rsquared:,-27.4728309003,-0.0424219549121,0.0384201471444,-4.43617177156,-4.43617177156
Average 5-Fold rsquared:,-6.99109098071
