diameter,rotError.std.mean
28,0.0136865652174
36,0.00848306666667
29,0.00990715789474
11,0.00666489285714
22,0.00854714285714
26,0.0155064516129
39,0.0139629166667
38,0.0146126956522
39,0.00927660869565
31,0.00886394594595
27,0.0103236571429
19,0.00831244
19,0.0120980666667
26,0.00897186111111
16,0.0070672
20,0.00862697142857
39,0.0111955416667
38,0.0146358235294
41,0.0165645
24,0.00871552173913
51,0.0142774482759
44,0.0177865357143
21,0.0435829285714
31,0.01847425
18,0.0134678235294
27,0.0117434782609
16,0.0171069
45,0.0210941176471
43,0.00869485714286
37,0.00991634782609
30,0.0162976363636
36,0.01273672
44,0.0216128148148
55,0.0267318666667
38,0.014787
41,0.01558596875
15,0.00887017391304
28,0.0132185
31,0.0158112592593
24,0.0110901538462
39,0.016004875
51,0.0116140454545
34,0.0131456666667
43,0.012016
34,0.0138605172414
40,0.0208444333333
28,0.0209096857143
40,0.0136826097561
24,0.0140931785714
31,0.0134039285714
31,0.0124418666667
23,0.0149295555556
33,0.0113095
45,0.01085984
26,0.0133554761905
31,0.0143581333333
27,0.00947095238095
46,0.0113865483871
30,0.0149370666667
28,0.0114615121951
8,0.00805719230769
31,0.0116139666667
38,0.01513984375
28,0.0103575555556
31,0.0177405833333
25,0.0105403103448
32,0.0159079615385
27,0.0123346818182
35,0.00975977777778
49,0.0120594285714
30,0.0112861428571
35,0.00749868
29,0.00801097368421
52,0.0182204166667
