voronoi_diameter,rotError.std.mean
28,0.0134886818182
36,0.00848306666667
29,0.00990715789474
11,0.00666489285714
22,0.00854714285714
26,0.0154531111111
39,0.0139629166667
38,0.0142382727273
39,0.00927660869565
31,0.00886394594595
27,0.0103236571429
19,0.00831244
19,0.0120980666667
26,0.00902981081081
16,0.0070672
20,0.00862697142857
39,0.0107663448276
38,0.0146358235294
41,0.0153069130435
24,0.00836128571429
51,0.0141560606061
44,0.0130143076923
21,0.0213154358974
31,0.0118386923077
18,0.0129007
27,0.0117434782609
16,0.0171069
45,0.0201348076923
43,0.00883107692308
37,0.00979857575758
30,0.0108434193548
36,0.01273672
44,0.0201676538462
55,0.0242387692308
38,0.0134642666667
41,0.0164263142857
15,0.008347
28,0.0136369583333
31,0.0145126
24,0.0110901538462
39,0.0162626538462
51,0.0139900769231
34,0.0113885652174
43,0.00808025641026
34,0.0127977692308
40,0.0142507037037
28,0.0175852258065
40,0.0131790810811
24,0.0140931785714
31,0.013008
31,0.0124418666667
23,0.01217428
33,0.0113095
45,0.01085984
26,0.013217275
31,0.0138498148148
27,0.00906033333333
46,0.0113865483871
30,0.01360234375
28,0.0114615121951
8,0.00809121428571
31,0.0116139666667
38,0.0140091666667
28,0.0103575555556
31,0.0173899090909
25,0.0105403103448
32,0.0152154583333
27,0.00999909375
35,0.00975977777778
49,0.0581752916667
30,0.00897219230769
35,0.00749868
29,0.00801097368421
52,0.0207175

5-Fold RMSE:,0.0115435223227,0.00425279255798,0.00427847916948,0.00294757973689,0.00294757973689
Average 5-Fold RMSE:,0.00536562880552

5-Fold rsquared:,-0.166797717591,0.643228083537,0.0870561764882,-0.597505468373,-0.597505468373
Average 5-Fold rsquared:,-0.227877331376
