avgRoomPerimeter,rotError.mean.mean
1364.92084998,0.00781177272727
2504.05291544,0.00518106666667
397.608743609,0.00745268421053
158.574001973,0.00380332142857
635.88614888,0.00530514285714
108.968542951,0.0108654444444
1528.34984877,0.0100377916667
759.248936383,0.00976259090909
907.63600807,0.00654347826087
529.397177254,0.00574740540541
720.429585269,0.0063216
443.595373769,0.00609472
231.338538533,0.00695146666667
655.562672363,0.00530697297297
162.29472605,0.00419643333333
1446.42707976,0.00586774285714
1054.23420007,0.0080334137931
539.066583437,0.00957582352941
99.2869208384,0.0113755652174
252.355785617,0.00664728571429
191.722481992,0.00940933333333
379.091758694,0.00862580769231
262.262352826,0.0175163076923
191.601876363,0.00585915384615
294.819744545,0.0080592
252.559291854,0.00719391304348
632.972242461,0.0116620333333
707.007128463,0.0185035384615
152.416788175,0.00794823076923
511.089909024,0.00808536363636
855.595083334,0.00828783870968
3522.51982697,0.0090522
345.9363477,0.0130484230769
650.998139899,0.0102915384615
120.176589697,0.0115043333333
264.066070953,0.0112823142857
462.675505543,0.00535094117647
381.143373035,0.0116517083333
758.966768091,0.00985292
1344.71238759,0.00736969230769
351.259423682,0.0124235769231
575.918221531,0.0109033461538
973.132170798,0.00870517391304
557.871193445,0.00633515384615
1503.33670222,0.0100060769231
774.553634232,0.00994803703704
555.98246505,0.0114515483871
2161.19207626,0.00746737837838
1410.68850812,0.0102650357143
2284.5563757,0.0086655
511.212845367,0.0111931666667
630.752429175,0.00878128
894.483397546,0.00787177777778
1099.36562113,0.0083908
630.451496107,0.013150075
1194.83545134,0.0103568888889
1792.08753811,0.00629451282051
525.16858287,0.0100887741935
391.018440217,0.0114415
645.16136179,0.0108286829268
2075.92330798,0.00529
1164.69698299,0.0074369
248.223687618,0.0108653666667
874.059231919,0.00650085185185
470.90808455,0.0107349090909
527.296427239,0.00662575862069
844.944967104,0.0108217916667
219.335679185,0.00683478125
558.011810887,0.00717885185185
288.41201767,0.0361834583333
1406.85593365,0.00648584615385
682.400594462,0.00584372
2023.67071564,0.0060295
112.337263592,0.0163589615385

5-Fold RMSE:,0.00263257709617,0.00345777810149,0.00765817683812,0.00238666079528,0.00238666079528
Average 5-Fold RMSE:,0.00375787420928

5-Fold rsquared:,-0.155939081713,0.096227588921,-0.370249781784,-0.00283275836826,-0.00283275836826
Average 5-Fold rsquared:,-0.0733267480632
