radius,rotError.std.std
14,0.00544283981045
18,0.00238204213415
15,0.00443794731193
6,0.00221181244909
11,0.00124875791759
19,0.00670812510145
20,0.00526352379524
19,0.00913242766636
20,0.00109827381314
16,0.001820392131
14,0.0115835540733
10,0.00242628577179
10,0.00881799279479
13,0.00155158807808
9,0.00133593491358
10,0.0033034977955
20,0.00457690250041
19,0.010818340273
21,0.00939720652641
16,0.00241009476396
40,0.00935003691155
22,0.0239013077489
11,0.0967031592699
16,0.0235713891725
9,0.00693154786835
14,0.00719629727175
12,0.00729724936466
23,0.00928123177602
22,0.00146296711826
19,0.00345204746565
17,0.0235237306324
18,0.00431503222254
23,0.0109164373752
28,0.0384564311949
21,0.0101640285899
22,0.0060490277033
8,0.00237160519209
17,0.00513266581564
18,0.00798833628714
12,0.00480609803905
20,0.00931314053418
26,0.0035854966117
17,0.0090749635613
22,0.00197943739482
20,0.00752716726779
20,0.0245157322818
14,0.0131644023743
20,0.00816947942897
14,0.00596216482169
16,0.00530810796887
16,0.00290363576381
12,0.00562260485523
17,0.00593740494427
23,0.0031691424541
18,0.00408505580913
16,0.0074098626606
14,0.00358325893136
23,0.00295568783369
15,0.00524304033256
14,0.00492444947089
4,0.00284535658194
16,0.00668196581096
19,0.00806206474837
14,0.00651974844058
19,0.0102982308024
13,0.00348419817228
18,0.00773341395644
15,0.00707002400913
18,0.0034764729288
29,0.00413643864616
16,0.0129904271285
20,0.00201918335413
15,0.00303309851547
27,0.00469485154998
