topology_radius,rotError.mean.std
4,0.0051668558009
3,0.127889138475
4,0.00340156190411
3,0.000529720236435
3,0.00274200687267
3,0.000868010041646
1,0.000988470995105
3,0.00429956664055
3,0.00305267434636
4,0.00325076749757
3,0.00162224709611
3,0.00122251686463
3,0.00481593435646
3,0.00139556645188
3,0.00295561424787
1,0.00086073843683
2,0.00087903722649
1,0.00234359606884
4,0.00196300121238
1,0.00475371639426
3,0.00397965134483
2,0.00194485015484
3,0.011229552043
2,0.00728678377751
2,0.0240067761271
3,0.00587163384417
2,0.00364257671701
2,0.00193137045088
1,0.00350567334933
4,0.011540864302
7,0.00169851493892
4,0.00387832424544
3,0.018982936371
4,0.00268365863701
5,0.00951347370549
4,0.0113683540574
4,0.0102189055546
4,0.00279617073466
2,0.00119649202124
4,0.00373159733983
4,0.00435481252733
2,0.00284573492967
5,0.00405173873492
3,0.00258198449888
3,0.00935193660277
6,0.00120964368307
2,0.00544625576124
4,0.0122018643728
4,0.00687929093309
2,0.00319700990545
2,0.00317220657184
4,0.00212895982035
2,0.00283126115696
3,0.00479663990611
3,0.00169591170353
4,0.00167382816322
3,0.00464877681209
4,0.00631663664558
3,0.00267358431567
5,0.00290650421563
3,0.00604227499064
2,0.00633767378436
3,0.000897543822652
3,0.00296056940863
4,0.00514108200771
3,0.0018376947053
2,0.00559589829449
1,0.0018378217927
3,0.00470429841354
3,0.00584007398849
3,0.00290145318257
3,0.0102512932546
3,0.00140772643706
3,0.00163527502515

5-Fold RMSE:,0.00441554158244,0.00407086438166,0.0324610395139,0.00530166154485,0.00530166154485
Average 5-Fold RMSE:,0.00999422934581

5-Fold rsquared:,-0.881251174,-0.117504872137,-1.37559073293,-0.0515650115418,-0.0515650115418
Average 5-Fold rsquared:,-1.03922688925
