diameter,rotError.numSamples.mean
28,5859.7826087
36,2208.2
29,533.736842105
11,281.035714286
22,375.75
26,3820.06451613
39,4729.04166667
38,3357.30434783
39,1109.95652174
31,244.540540541
27,830.8
19,180.0
19,450.733333333
26,457.388888889
16,628.1
20,954.971428571
39,1007.54166667
38,2059.76470588
41,8900.875
24,2142.7826087
51,6283.62068966
44,5881.21428571
21,3028.03571429
31,13942.1666667
18,2496.67647059
27,8121.34782609
16,2459.1
45,3998.88235294
43,716.857142857
37,843.47826087
30,3702.36363636
36,6648.12
44,4365.44444444
55,4280.06666667
38,1701.35294118
41,3879.09375
15,189.695652174
28,508.4375
31,2765.85185185
24,1206.76923077
39,6532.5
51,3173.27272727
34,2456.83333333
43,2281.8
34,6061.31034483
40,8307.2
28,2598.6
40,3927.24390244
24,1492.89285714
31,3814.28571429
31,655.766666667
23,612.888888889
33,1611.27777778
45,3842.36
26,1384.0
31,3280.36666667
27,2484.47619048
46,1119.77419355
30,591.466666667
28,510.341463415
8,1281.76923077
31,1420.46666667
38,4234.0625
28,754.666666667
31,3208.20833333
25,407.793103448
32,2487.5
27,3492.45454545
35,609.074074074
49,4201.78571429
30,2976.25
35,461.08
29,1971.81578947
52,8002.75
