topology_std_closeness_centrality,transError.mean.mean
0.0598415157943,0.616674277778
0.0722237137313,0.513207166667
0.0565394436277,0.511799
0.0749235383167,0.347489733333
0.0701663659578,0.178033842105
0.0657681785738,0.111519571429
0.13065442293,0.135674892857
0.0624073878507,0.567853258065
0.0845695226798,0.483538
0.0670242256695,0.364766782609
0.0669124340965,0.266804521739
0.0765484380217,0.136014027027
0.0646504304243,0.1602634
0.0905223954098,0.11330008
0.0900481570651,0.120517266667
0.115187813932,0.168592444444
0.0899535979605,0.1753349
0.116857256136,0.250973828571
0.0594648531491,0.255138206897
0.157134840264,0.275744352941
0.0588838687402,0.572332
0.0853782568654,0.401876478261
0.0673104249139,0.667381558824
0.0945135561085,0.601016714286
0.0868958235123,0.428635214286
0.0639585892462,0.534300857143
0.101375536596,0.392818764706
0.0845009452369,0.511895521739
0.108458483731,0.3828526
0.0665544387217,0.480142294118
0.0374305305731,0.200632047619
0.0536432565224,0.214672086957
0.068198206604,0.310588818182
0.0745594040261,0.63580396
0.0408820498034,0.357241074074
0.0633289348438,0.322165133333
0.0526834428243,0.302912058824
0.0472063942178,0.44758759375
0.095743320775,0.0879599565217
0.0508982298677,0.224303125
0.0555799197274,0.388622
0.0834404573371,0.297397730769
0.0403607033676,0.663971375
0.0537675872802,0.551063954545
0.0747329471831,0.31300125
0.0468274295182,0.4318884
0.072643836412,0.465919793103
0.0530174475837,0.471419
0.0701235418297,0.317696542857
0.0757339072829,0.366169390244
0.0930764684502,0.301987178571
0.0570677408173,0.381142583333
0.0819311450325,0.2053401
0.0947118368488,0.189486166667
0.0492781042019,0.273704222222
0.045934575683,0.42013416
0.0790551718017,0.323464547619
0.0751243143765,0.429869033333
0.0714943970357,0.367336428571
0.0470059839967,0.283932129032
0.0714476214654,0.19405875
0.0858487345512,0.191225219512
0.0699051405756,0.285231925926
0.0729452660304,0.3031
0.0600455297118,0.475740875
0.0706887474473,0.236201074074
0.0775007939585,0.54542925
0.115934965711,0.154262137931
0.0606107891583,0.423788730769
0.0707140975918,0.337108057143
0.0834460534495,0.189719777778
0.0806190931631,0.29107
0.087565063355,0.17891308
0.0735940216048,0.367190842105

5-Fold RMSE:,0.134187458371,0.15897161655,0.141527587726,0.136326348078,0.136326348078
Average 5-Fold RMSE:,0.1435890294

5-Fold rsquared:,-0.049597614701,0.220189247369,-0.171635709016,0.193242065697,0.193242065697
Average 5-Fold rsquared:,0.0229523914012
