voronoi_diameter,rotError.std.std
28,0.00570813314798
36,0.00238204213415
29,0.00443794731193
11,0.00221181244909
22,0.00124875791759
26,0.00692890029398
39,0.00526352379524
38,0.00916339305052
39,0.00109827381314
31,0.001820392131
27,0.0115835540733
19,0.00242628577179
19,0.00881799279479
26,0.00156947572306
16,0.00133593491358
20,0.0033034977955
39,0.00427790386373
38,0.010818340273
41,0.0073614093577
24,0.0020421627691
51,0.00882900353326
44,0.0056069691509
21,0.00964521917124
31,0.0102373131119
18,0.00694223066048
27,0.00719629727175
16,0.00729724936466
45,0.00941862106525
43,0.00165015637774
37,0.00327309840264
30,0.00344135860057
36,0.00431503222254
44,0.00820748297377
55,0.038374045582
38,0.00800000789555
41,0.00653686665775
15,0.0030003076901
28,0.00533292057631
31,0.00671912860422
24,0.00480609803905
39,0.00899802736477
51,0.00879950207474
34,0.0034406223505
43,0.00161564506
34,0.00646094092521
40,0.00512121237682
28,0.00772600753931
40,0.00810460207062
24,0.00596216482169
31,0.00468461053166
31,0.00290363576381
23,0.00727200671353
33,0.00593740494427
45,0.0031691424541
26,0.00360718859354
31,0.00760278416857
27,0.00281495176744
46,0.00295568783369
30,0.00587875703598
28,0.00492444947089
8,0.00274550707465
31,0.00668196581096
38,0.00693703706243
28,0.00651974844058
31,0.0105001485137
25,0.00348419817228
32,0.00672065780498
27,0.00427584456832
35,0.0034764729288
49,0.218382402573
30,0.0062202472559
35,0.00201918335413
29,0.00303309851547
52,0.00630615992045

5-Fold RMSE:,0.0124772334396,0.00741447143884,0.00599114384829,0.0541227251412,0.0541227251412
Average 5-Fold RMSE:,0.0174430747171

5-Fold rsquared:,-15.0006060209,0.206488954489,-0.0322462681398,-23.8092612502,-23.8092612502
Average 5-Fold rsquared:,-8.3835994855
