voronoi_traversal_distance,transError.numSamples.mean
1349.09985599,4854.31818182
919.718726924,2208.2
419.663612797,533.736842105
211.703543676,281.035714286
265.490773911,375.75
1173.06783952,2982.96296296
1490.99507567,4729.04166667
841.175649661,2494.54545455
512.459790786,1109.95652174
183.023661923,244.540540541
288.952643527,830.8
191.014634059,180.0
162.313862645,450.733333333
384.763332574,456.135135135
546.868433022,628.1
384.284799509,954.971428571
1093.28515564,914.034482759
823.369821087,2059.76470588
1603.67256076,8438.2173913
726.421235223,1611.28571429
1455.54715772,6025.96969697
1342.9430314,4245.57692308
608.712541442,2369.74358974
1371.34741951,11003.8461538
550.763056801,2018.0
1001.59400158,8121.34782609
498.802202458,2459.1
633.149187702,898.038461538
808.608614515,845.545454545
897.190026783,908.161290323
1578.35836762,6648.12
918.534020399,2004.73076923
1008.03211816,1650.23076923
870.931728251,1444.0
1371.33686714,4167.25714286
274.928270325,160.676470588
658.752298095,1054.375
750.178214424,1731.48
510.678711028,1206.76923077
1567.27616653,6763.84615385
1367.57529848,4317.96153846
492.886623007,1501.82608696
740.557101864,1183.46153846
1069.35769226,4219.69230769
1006.22432177,3851.77777778
520.067365763,2071.29032258
717.088483789,3696.67567568
354.772213719,1492.89285714
1193.67522752,3379.41666667
439.245777626,655.766666667
431.491340742,619.76
425.603880936,1611.27777778
1025.57459113,3842.36
589.758911653,1278.8
656.952316561,2906.77777778
754.01694709,1697.56410256
699.590611899,1119.77419355
484.299613589,581.0
339.901939934,510.341463415
205.223499199,1266.60714286
609.45010448,1420.46666667
1187.28583886,3455.96666667
639.103357547,754.666666667
874.938568522,2924.18181818
285.340344762,407.793103448
870.904226907,2267.29166667
731.103227949,1168.5
645.715980112,609.074074074
786.534337607,1209.07692308
653.648966259,461.08
1138.67499527,1971.81578947

5-Fold RMSE:,1817.37462905,989.524792238,858.302763356,1795.58311834,1795.58311834
Average 5-Fold RMSE:,1235.03044844

5-Fold rsquared:,0.481093331649,0.318426832793,0.570802847867,0.454168546763,0.454168546763
Average 5-Fold rsquared:,0.507116714641
