voronoi_diameter,transError.numSamples.mean
28,4854.31818182
36,2208.2
29,533.736842105
11,281.035714286
22,375.75
26,2982.96296296
39,4729.04166667
38,2494.54545455
39,1109.95652174
31,244.540540541
27,830.8
19,180.0
19,450.733333333
26,456.135135135
16,628.1
20,954.971428571
39,914.034482759
38,2059.76470588
41,8438.2173913
24,1611.28571429
51,6025.96969697
44,4245.57692308
21,2369.74358974
31,11003.8461538
18,2018.0
27,8121.34782609
16,2459.1
45,2825.15384615
43,898.038461538
37,845.545454545
30,908.161290323
36,6648.12
44,2004.73076923
55,1650.23076923
38,1444.0
41,4167.25714286
15,160.676470588
28,1054.375
31,1731.48
24,1206.76923077
39,6763.84615385
51,4317.96153846
34,1501.82608696
43,1183.46153846
34,4219.69230769
40,3851.77777778
28,2071.29032258
40,3696.67567568
24,1492.89285714
31,3379.41666667
31,655.766666667
23,619.76
33,1611.27777778
45,3842.36
26,1278.8
31,2906.77777778
27,1697.56410256
46,1119.77419355
30,581.0
28,510.341463415
8,1266.60714286
31,1420.46666667
38,3455.96666667
28,754.666666667
31,2924.18181818
25,407.793103448
32,2267.29166667
27,1168.5
35,609.074074074
49,4291.20833333
30,1209.07692308
35,461.08
29,1971.81578947
52,8361.53846154

5-Fold RMSE:,1921.20613127,1613.50542945,1868.9855896,3016.08861448,3016.08861448
Average 5-Fold RMSE:,2027.0424195

5-Fold rsquared:,0.400563315017,-0.0565344617247,-0.969497366241,0.38915718965,0.38915718965
Average 5-Fold rsquared:,-0.0254745688019
