topology_diameter,transError.mean.std
7,0.128810550931
6,0.0626106276575
5,0.0363222141704
6,0.0240230927776
2,0.0231752964896
6,0.12471567563
5,0.118403445404
7,0.105974371826
6,0.0468835943002
6,0.0525575836354
6,0.0652650350355
6,0.0380406378831
5,0.048698079138
2,0.0465531383268
3,0.015699391456
2,0.0795487657361
8,0.0609893108178
2,0.0634488000674
6,0.121656676099
4,0.108765944747
5,0.116482183881
4,0.123971354033
4,0.117014135854
5,0.093854286797
4,0.0949115380575
4,0.113382526137
2,0.0940625752148
8,0.143229486163
13,0.0476951664389
6,0.0815122877936
6,0.0482871281887
7,0.109859637786
8,0.0815752280843
8,0.0639775660122
8,0.0966037993107
8,0.130209711384
4,0.0344430098623
8,0.0825251437691
7,0.0787229033116
4,0.0703616797672
8,0.136893046155
6,0.131748844655
5,0.0638479804609
12,0.0832238780337
4,0.112655965246
7,0.0882750414235
8,0.0630703094014
4,0.0904968358626
3,0.0844506183324
8,0.0812632064472
4,0.0478290808047
5,0.0665534059179
6,0.063039235743
8,0.0862053699096
5,0.0951669768786
7,0.0936298052555
6,0.083845172989
10,0.067525357097
6,0.0711609699581
4,0.0754858045801
6,0.0666286445176
5,0.06593977187
7,0.119219125795
5,0.060063217006
4,0.0967598598958
2,0.0600886637503
6,0.103345628507
4,0.0960266591481
5,0.0554747715395
6,0.117509395197
5,0.0976733690521
4,0.0490437767207
5,0.0852449136299
7,0.18024925237

5-Fold RMSE:,0.024175946483,0.036547401404,0.037967445413,0.0318253906021,0.0318253906021
Average 5-Fold RMSE:,0.0317204220857

5-Fold rsquared:,-0.029339357854,-0.00116957334625,0.00348625991505,-0.644133682815,-0.644133682815
Average 5-Fold rsquared:,-0.125572403471
