topology_avg_betweenness_centrality,rotError.std.std
0.0677298311445,0.00570813314798
0.0785507246377,0.00238204213415
0.171328671329,0.00443794731193
0.244444444444,0.00221181244909
0.0818181818182,0.00124875791759
0.0430054476308,0.00692890029398
0.0396317370002,0.00526352379524
0.106554677207,0.00916339305052
0.12693498452,0.00109827381314
0.141391941392,0.001820392131
0.145098039216,0.0115835540733
0.128937728938,0.00242628577179
0.107142857143,0.00881799279479
0.060119047619,0.00156947572306
0.0930402930403,0.00133593491358
0.0625,0.0033034977955
0.123188405797,0.00427790386373
0.333333333333,0.010818340273
0.0447939150992,0.0073614093577
0.0835913312693,0.0020421627691
0.0346271236799,0.00882900353326
0.0462820512821,0.0056069691509
0.0456121145776,0.00964521917124
0.0721368092692,0.0102373131119
0.0746474028208,0.00694223066048
0.0809941520468,0.00719629727175
0.0526315789474,0.00729724936466
0.0803776683087,0.00941862106525
0.127799227799,0.00165015637774
0.0618618618619,0.00327309840264
0.0622358034123,0.00344135860057
0.0855072463768,0.00431503222254
0.0483073539657,0.00820748297377
0.0512077294686,0.038374045582
0.0603415047795,0.00800000789555
0.0541025641026,0.00653686665775
0.124708624709,0.0030003076901
0.0702091767881,0.00533292057631
0.0786962365591,0.00671912860422
0.0990196078431,0.00480609803905
0.0726480836237,0.00899802736477
0.11405985319,0.00879950207474
0.0884711779449,0.0034406223505
0.0858805445762,0.00161564506
0.0555829228243,0.00646094092521
0.071322537112,0.00512121237682
0.0939031339031,0.00772600753931
0.103887168903,0.00810460207062
0.0916666666667,0.00596216482169
0.109401709402,0.00468461053166
0.0867167919799,0.00290363576381
0.0763157894737,0.00727200671353
0.116318464145,0.00593740494427
0.0813181602655,0.0031691424541
0.0693346508564,0.00360718859354
0.0886956521739,0.00760278416857
0.125438596491,0.00281495176744
0.121100164204,0.00295568783369
0.0974025974026,0.00587875703598
0.11369047619,0.00492444947089
0.115927072583,0.00274550707465
0.138235294118,0.00668196581096
0.0755793226381,0.00693703706243
0.10626566416,0.00651974844058
0.0506568144499,0.0105001485137
0.0613095238095,0.00348419817228
0.052380952381,0.00672065780498
0.0501145912911,0.00427584456832
0.110714285714,0.0034764729288
0.0450348432056,0.218382402573
0.0716403162055,0.0062202472559
0.0791193670451,0.00201918335413
0.0574712643678,0.00303309851547
0.0651387827858,0.00630615992045

5-Fold RMSE:,0.0120445085745,0.0557227891066,0.0064539453854,0.00517426176958,0.00517426176958
Average 5-Fold RMSE:,0.0169787675275

5-Fold rsquared:,-3.24084769084,-3.43257403707,-2.21896321494,-1.14527747656,-1.14527747656
Average 5-Fold rsquared:,-2.02032679764
