wallRatio,rotError.mean.mean
95.5085578123,0.00804769565217
58.5,0.00518106666667
259.861982598,0.00745268421053
79.1568064035,0.00380332142857
156.077544829,0.00530514285714
254.000492126,0.0113298387097
107.75,0.0100377916667
85.0,0.00991973913043
150.372087523,0.00654347826087
116.372247551,0.00574740540541
79.9034139168,0.0063216
152.105884173,0.00609472
140.405128111,0.00695146666667
70.2032762768,0.00522869444444
111.803398875,0.00419643333333
52.3333333333,0.00586774285714
159.476547589,0.00836370833333
107.12901101,0.00957582352941
75.0,0.0118060833333
85.5,0.00680830434783
82.2192191644,0.00944403448276
85.6692606611,0.0102644642857
146.017550315,0.0246713571429
42.5,0.00765891666667
40.7940417972,0.00877191176471
116.833333333,0.00719391304348
54.6829244118,0.0116620333333
195.799193881,0.0221704705882
52.3630080819,0.00773861904762
72.7590861363,0.0076692173913
137.333434466,0.0124832272727
195.0,0.0090522
57.795023193,0.0147335925926
62.8,0.0128114
64.1950153828,0.0131788235294
47.3333333333,0.0105658125
134.713399482,0.00586613043478
75.894663844,0.01122375
64.2505870093,0.010821
64.8333333333,0.00736969230769
113.5,0.012007125
59.6003355695,0.00962695454545
116.659635642,0.0105803333333
75.5,0.0089074
61.75,0.0112168965517
119.221642331,0.0137696
100.215345056,0.0132841714286
113.84243497,0.0079603902439
100.762716319,0.0102650357143
108.5,0.00904714285714
61.0,0.0111931666667
69.3375245282,0.0101992222222
162.786363065,0.00787177777778
60.9924333264,0.0083908
276.335142736,0.0134036428571
125.858650875,0.0111335666667
136.792027631,0.00665304761905
170.018165119,0.0100887741935
186.752431278,0.0131854666667
94.2,0.0108286829268
121.115647214,0.00526592307692
125.858650875,0.0074369
69.0004528971,0.01176809375
60.5556574923,0.00650085185185
54.7144722115,0.0117556666667
76.8259771772,0.00662575862069
56.5108006335,0.0114198846154
185.4,0.00877604545455
39.8571428571,0.00717885185185
68.2,0.00882771428571
88.2524787187,0.00862746428571
103.815447111,0.00584372
359.666821131,0.0060295
82.25,0.0138904166667
