totalLength,rotError.mean.std
3660.20342622,0.00314194787486
2587.25446388,0.000529720236435
409.860183458,0.00274200687267
252.832909534,0.000868010041646
326.784256607,0.000988470995105
1892.74857737,0.00396421114784
2116.13492361,0.00305267434636
839.445248871,0.00323725683059
845.090021745,0.00162224709611
295.419139725,0.00122251686463
506.321896435,0.00481593435646
273.457946693,0.00139556645188
192.066214539,0.00295561424787
460.323902297,0.000970277349218
580.535894357,0.00087903722649
971.378772283,0.00234359606884
1454.17383526,0.00196300121238
1049.93660782,0.00475371639426
3044.4920207,0.00347532974758
1763.52088913,0.00196074084985
3583.55399147,0.00290945535533
4218.85886075,0.0031687609811
661.637548328,0.00691864528074
4021.08620158,0.00176297243951
2185.310496,0.00288446249643
2674.03601278,0.00193137045088
889.381270016,0.00350567334933
856.448332634,0.00957145977701
583.282697474,0.00189316660463
724.168263784,0.00409306542765
1059.00085756,0.0021898122043
2298.96506651,0.00268365863701
1299.36924629,0.00416085194839
1139.5330769,0.00454871802084
1024.60263742,0.00374086917173
2428.95859096,0.00321904367864
202.280144503,0.00149199568169
794.76649585,0.00373159733983
1283.44755632,0.00227211409784
876.168728003,0.00284573492967
3895.59655478,0.00405082361008
1838.45975986,0.00433258295247
887.58696234,0.00262143524665
1272.97114091,0.0015716058183
2237.338555,0.00295077555546
2243.12050896,0.0019344299642
817.749364664,0.00393376291854
1968.77235594,0.00199421540371
637.726898906,0.00317220657184
3076.08125966,0.00212895982035
500.537324732,0.00283126115696
494.585855155,0.00452986510634
1035.09066139,0.00169591170353
2396.14078511,0.00167382816322
569.365810752,0.00374603304672
1484.34506716,0.00567736820441
1393.93429886,0.00200585427637
972.933103525,0.00290650421563
445.408495107,0.00604227499064
382.17641299,0.00633767378436
1731.04519683,0.000897543822652
916.588301973,0.00296056940863
2126.42032302,0.00379557550738
891.481124196,0.0018376947053
2361.9119709,0.00342684333818
330.137152444,0.0018378217927
1501.36839325,0.0038392713065
1134.18585289,0.00265952798602
602.963843177,0.00290145318257
3339.01465467,0.127889138475
1005.37780038,0.00273066403156
693.217716208,0.00140772643706
2034.8306002,0.00163527502515
2828.08593149,0.00529794026363

5-Fold RMSE:,0.0323481097548,0.00389266668294,0.00528051658453,0.00526132921742,0.00526132921742
Average 5-Fold RMSE:,0.0105851240751

5-Fold rsquared:,-3.90945843922,-18.7005663769,-2.52766643233,-0.0657789446348,-0.0657789446348
Average 5-Fold rsquared:,-9.09733663033
