totalTime,rotError.mean.mean
7629.68333333,0.0160152777778
7180.75,0.0361834583333
7743.55652174,0.0081227826087
5871.41333333,0.00518106666667
2281.97894737,0.00745268421053
1354.59642857,0.00380332142857
1659.58214286,0.00530514285714
5198.54516129,0.0113298387097
5477.86666667,0.0100377916667
3536.62173913,0.00991973913043
2830.96086957,0.00654347826087
1745.23513514,0.00574740540541
2208.06285714,0.0063216
1662.192,0.00609472
1609.00666667,0.00695146666667
2145.56944444,0.00522869444444
2048.65333333,0.00419643333333
3052.23428571,0.00586774285714
3764.16896552,0.0080334137931
3581.27058824,0.00957582352941
7052.875,0.0118060833333
4358.37826087,0.00680830434783
9170.88235294,0.0128010294118
9315.98928571,0.0102644642857
3083.37857143,0.0246713571429
10644.2714286,0.007418
5282.52058824,0.00877191176471
6047.27826087,0.00719391304348
3020.41666667,0.0116620333333
3506.38235294,0.0221704705882
2408.40952381,0.00773861904762
2618.1826087,0.0076692173913
3122.75454545,0.0124832272727
5479.196,0.0090522
4442.33333333,0.0147335925926
3697.00666667,0.0128114
3580.12352941,0.0131788235294
5922.8125,0.0105658125
1650.44782609,0.00586613043478
3136.37916667,0.0116517083333
3913.77777778,0.010821
2507.84230769,0.00736969230769
8273.10833333,0.012007125
5024.57727273,0.00962695454545
2868.95833333,0.0105803333333
5079.84,0.0089074
5964.87241379,0.0112168965517
5847.58333333,0.0137696
2814.78857143,0.0132841714286
5177.86829268,0.0079603902439
2649.53928571,0.0102650357143
7307.11666667,0.0086655
2228.52666667,0.0111931666667
2084.42916667,0.00875566666667
3423.01111111,0.00787177777778
6119.592,0.0083908
2439.62142857,0.0134036428571
4293.42333333,0.0111335666667
3703.52857143,0.00665304761905
3426.39032258,0.0100887741935
2034.859375,0.0114415
1896.65609756,0.0108286829268
4133.45185185,0.00525488888889
2596.04,0.0074369
5151.05,0.01176809375
2637.14444444,0.00650085185185
5440.36666667,0.0117556666667
1954.06206897,0.00662575862069
4110.29615385,0.0114198846154
3653.46571429,0.00779974285714
2386.22592593,0.00717885185185
2968.16428571,0.00862746428571
2600.284,0.00584372
5058.65263158,0.0060295

5-Fold RMSE:,0.00492436636494,0.00372182857663,0.00725429102869,0.00416209351016,0.00416209351016
Average 5-Fold RMSE:,0.00450056701587

5-Fold rsquared:,0.0831150438442,0.0437552295217,-0.166390232934,-0.109683690736,-0.109683690736
Average 5-Fold rsquared:,0.0168525876039
