voronoi_std_katz_centrality,rotError.std.std
0.0624731549568,0.00570813314798
0.063752172964,0.00238204213415
0.0754900972952,0.00443794731193
0.129091206881,0.00221181244909
0.102657659336,0.00124875791759
0.0661008951017,0.00692890029398
0.0502704418861,0.00526352379524
0.0586127538334,0.00916339305052
0.0780340421936,0.00109827381314
0.0939892490074,0.001820392131
0.0975397092036,0.0115835540733
0.111014569034,0.00242628577179
0.110099823171,0.00881799279479
0.0929712298051,0.00156947572306
0.108205660452,0.00133593491358
0.119112086547,0.0033034977955
0.0659829233406,0.00427790386373
0.0585913436971,0.010818340273
0.0598248730876,0.0073614093577
0.0772516261558,0.0020421627691
0.048109504833,0.00882900353326
0.0637167667236,0.0056069691509
0.0692008974402,0.00964521917124
0.0544424123813,0.0102373131119
0.0841168072726,0.00694223066048
0.0797494568412,0.00719629727175
0.106868056324,0.00729724936466
0.0631905584655,0.00941862106525
0.0669254864612,0.00165015637774
0.059006633997,0.00327309840264
0.0592550204987,0.00344135860057
0.0714572904211,0.00431503222254
0.0434370069683,0.00820748297377
0.0483911660079,0.038374045582
0.0575331907477,0.00800000789555
0.0534243204259,0.00653686665775
0.114707065441,0.0030003076901
0.0680103608451,0.00533292057631
0.0658075265519,0.00671912860422
0.0968684562829,0.00480609803905
0.0561712509096,0.00899802736477
0.0581987476898,0.00879950207474
0.0879679595136,0.0034406223505
0.0683610410463,0.00161564506
0.0597913687418,0.00646094092521
0.0575400519371,0.00512121237682
0.0725973866224,0.00772600753931
0.0657233059386,0.00810460207062
0.0755615846501,0.00596216482169
0.060574938632,0.00468461053166
0.0835822171484,0.00290363576381
0.0738591884147,0.00727200671353
0.0824780523605,0.00593740494427
0.0616037184567,0.0031691424541
0.0755455798348,0.00360718859354
0.062966882775,0.00760278416857
0.0788806200449,0.00281495176744
0.0722201300189,0.00295568783369
0.0761861508636,0.00587875703598
0.0773264365088,0.00492444947089
0.204263905889,0.00274550707465
0.0891668487181,0.00668196581096
0.0628086114111,0.00693703706243
0.0823513570222,0.00651974844058
0.0641495247308,0.0105001485137
0.089069884571,0.00348419817228
0.066034753817,0.00672065780498
0.0594085046862,0.00427584456832
0.0680457197775,0.0034764729288
0.0464069089952,0.218382402573
0.0713808637398,0.0062202472559
0.0637154343161,0.00201918335413
0.0671155361255,0.00303309851547
0.0394800592855,0.00630615992045

5-Fold RMSE:,0.00633017170433,0.0124522700682,0.0554663756363,0.00532358218001,0.00532358218001
Average 5-Fold RMSE:,0.0174658517365

5-Fold rsquared:,-5.32424885332,-29.3755693683,-0.0600978421576,-3.26482986934,-3.26482986934
Average 5-Fold rsquared:,-7.58899344609
