voronoi_radius,rotError.numSamples.std
14,4496.65449768
18,1068.57195671
15,257.853455343
6,141.850142792
11,182.929460449
19,2244.05747734
20,3935.77212331
19,2874.5710625
20,363.803157271
16,147.306005198
14,2626.374729
10,108.084781537
10,1084.0791156
13,180.818284498
9,273.731419461
10,642.991734482
20,702.453163625
19,1510.28589149
21,14872.7918784
16,720.79837633
40,9225.92445392
22,3023.39259484
11,2651.41884337
16,24043.8800652
9,1616.41335473
14,8919.29941979
12,1725.55951023
23,1863.36560045
22,624.17813537
19,620.469279434
17,857.003410118
18,5103.87888822
23,1966.19530209
28,1057.23261059
21,1483.83345876
22,3961.17166175
8,165.786311893
17,2139.14201672
18,1428.99660238
12,968.189122803
20,5433.37490878
26,3842.62601996
17,1817.05743137
22,691.528513091
20,8506.08116752
20,3722.68290681
14,1936.04140841
20,4393.41939757
14,1687.4634671
16,2072.14962693
16,383.599850828
12,786.667567909
17,1917.94562562
23,2174.75877982
18,748.389444073
16,2608.69783514
14,1354.24201138
23,490.102011085
15,432.474999277
14,473.088895362
4,597.094712473
16,1136.24840985
19,3100.93252085
14,803.781894131
19,1700.53022844
13,316.936671506
18,2065.32399555
15,1024.40711512
18,350.849437575
29,3504.51641908
16,2631.23148885
20,257.78020405
15,1433.91482635
27,4268.01882728

5-Fold RMSE:,1891.25661126,3363.00858449,2096.6139586,2129.95845682,2129.95845682
Average 5-Fold RMSE:,3112.24022547

5-Fold rsquared:,0.037133620666,-0.027314918729,-0.951333826883,0.462253570132,0.462253570132
Average 5-Fold rsquared:,-0.118615906262
