edges,transError.numSamples.std
264,5234.2224285
288,1068.57195671
178,257.853455343
61,141.850142792
92,182.929460449
229,3510.04999446
404,3935.77212331
305,4927.43898941
171,363.803157271
112,147.306005198
104,2626.374729
82,108.084781537
80,1084.0791156
114,183.153742003
85,273.731419461
69,642.991734482
234,736.775631788
297,1510.28589149
285,14727.7449601
159,2308.33572565
449,9784.61316845
257,8108.00744572
210,2866.01159506
337,25803.4507764
147,2219.38941949
155,8919.29941979
85,1725.55951023
253,3228.66340734
220,308.046732032
292,701.623265043
287,12253.024445
189,5103.87888822
562,12190.977691
437,10206.0904135
303,1947.88730019
356,4006.02426321
75,189.939449112
216,338.663728636
235,4015.83521781
104,968.189122803
320,5532.41528027
321,1328.17120275
128,4913.35122961
211,897.213776087
279,12782.2996962
315,15884.6134701
193,3217.32940007
255,4350.15152402
175,1687.4634671
282,2927.87105563
142,383.599850828
190,379.749169978
146,1917.94562562
265,2174.75877982
170,1102.42140417
263,2925.49410622
166,3355.85891523
192,490.102011085
172,175.644666554
166,473.088895362
24,617.028443908
123,1136.24840985
253,4289.42952164
145,803.781894131
246,1881.63948857
125,316.936671506
232,2151.72678867
295,6754.77336762
214,350.849437575
469,3895.98161441
195,9293.22106863
248,257.78020405
226,1433.91482635
651,4998.19879432
