voronoi_diameter,transError.numSamples.std
28,4496.65449768
36,1068.57195671
29,257.853455343
11,141.850142792
22,182.929460449
26,2244.05747734
39,3935.77212331
38,2874.5710625
39,363.803157271
31,147.306005198
27,2626.374729
19,108.084781537
19,1084.0791156
26,180.818284498
16,273.731419461
20,642.991734482
39,702.453163625
38,1510.28589149
41,14872.7918784
24,720.79837633
51,9225.92445392
44,3023.39259484
21,2651.41884337
31,24043.8800652
18,1616.41335473
27,8919.29941979
16,1725.55951023
45,1863.36560045
43,624.17813537
37,620.469279434
30,857.003410118
36,5103.87888822
44,1966.19530209
55,1057.23261059
38,1483.83345876
41,3961.17166175
15,165.786311893
28,2139.14201672
31,1428.99660238
24,968.189122803
39,5433.37490878
51,3842.62601996
34,1817.05743137
43,691.528513091
34,8506.08116752
40,3722.68290681
28,1936.04140841
40,4393.41939757
24,1687.4634671
31,2072.14962693
31,383.599850828
23,786.667567909
33,1917.94562562
45,2174.75877982
26,748.389444073
31,2608.69783514
27,1354.24201138
46,490.102011085
30,432.474999277
28,473.088895362
8,597.094712473
31,1136.24840985
38,3100.93252085
28,803.781894131
31,1700.53022844
25,316.936671506
32,2065.32399555
27,1024.40711512
35,350.849437575
49,3504.51641908
30,2631.23148885
35,257.78020405
29,1433.91482635
52,4268.01882728

5-Fold RMSE:,2044.72767694,5771.40328642,2548.86229873,3363.76912887,3363.76912887
Average 5-Fold RMSE:,3120.53097387

5-Fold rsquared:,0.0983515605932,-0.0428921034207,-0.562491950504,0.265544522402,0.265544522402
Average 5-Fold rsquared:,-0.0870722051315
