wallRatio,rotError.mean.mean
95.5085578123,0.00781177272727
58.5,0.00518106666667
259.861982598,0.00745268421053
79.1568064035,0.00380332142857
156.077544829,0.00530514285714
254.000492126,0.0108654444444
107.75,0.0100377916667
85.0,0.00976259090909
150.372087523,0.00654347826087
116.372247551,0.00574740540541
79.9034139168,0.0063216
152.105884173,0.00609472
140.405128111,0.00695146666667
70.2032762768,0.00530697297297
111.803398875,0.00419643333333
52.3333333333,0.00586774285714
159.476547589,0.0080334137931
107.12901101,0.00957582352941
75.0,0.0113755652174
85.5,0.00664728571429
82.2192191644,0.00940933333333
85.6692606611,0.00862580769231
146.017550315,0.0175163076923
42.5,0.00585915384615
40.7940417972,0.0080592
116.833333333,0.00719391304348
54.6829244118,0.0116620333333
195.799193881,0.0185035384615
52.3630080819,0.00794823076923
72.7590861363,0.00808536363636
137.333434466,0.00828783870968
195.0,0.0090522
57.795023193,0.0130484230769
62.8,0.0102915384615
64.1950153828,0.0115043333333
47.3333333333,0.0112823142857
134.713399482,0.00535094117647
75.894663844,0.0116517083333
64.2505870093,0.00985292
64.8333333333,0.00736969230769
113.5,0.0124235769231
59.6003355695,0.0109033461538
116.659635642,0.00870517391304
75.5,0.00633515384615
61.75,0.0100060769231
119.221642331,0.00994803703704
100.215345056,0.0114515483871
113.84243497,0.00746737837838
100.762716319,0.0102650357143
108.5,0.0086655
61.0,0.0111931666667
69.3375245282,0.00878128
162.786363065,0.00787177777778
60.9924333264,0.0083908
276.335142736,0.013150075
125.858650875,0.0103568888889
136.792027631,0.00629451282051
170.018165119,0.0100887741935
186.752431278,0.0114415
94.2,0.0108286829268
121.115647214,0.00529
125.858650875,0.0074369
69.0004528971,0.0108653666667
60.5556574923,0.00650085185185
54.7144722115,0.0107349090909
76.8259771772,0.00662575862069
56.5108006335,0.0108217916667
185.4,0.00683478125
39.8571428571,0.00717885185185
68.2,0.0361834583333
88.2524787187,0.00648584615385
103.815447111,0.00584372
359.666821131,0.0060295
82.25,0.0163589615385

5-Fold RMSE:,0.00356325606577,0.00255776219379,0.00219407091322,0.00323577079732,0.00323577079732
Average 5-Fold RMSE:,0.00390620540089

5-Fold rsquared:,-0.0213419537386,-0.00609842032065,-0.711211295096,-0.168431045285,-0.168431045285
Average 5-Fold rsquared:,-0.186580393545
