totalLength,transError.std.mean
3660.20342622,0.597974409091
2587.25446388,0.3833542
409.860183458,0.198447578947
252.832909534,0.12269
326.784256607,0.153758035714
1892.74857737,0.443964518519
2116.13492361,0.531760416667
839.445248871,0.402073772727
845.090021745,0.30601326087
295.419139725,0.133319189189
506.321896435,0.194677542857
273.457946693,0.11035772
192.066214539,0.139761666667
460.323902297,0.178360027027
580.535894357,0.2198439
971.378772283,0.243437428571
1454.17383526,0.256086724138
1049.93660782,0.338521882353
3044.4920207,0.583932391304
1763.52088913,0.325802619048
3583.55399147,0.59423269697
4218.85886075,0.577431384615
661.637548328,0.38375874359
4021.08620158,0.698436384615
2185.310496,0.3659623
2674.03601278,0.690604043478
889.381270016,0.404276533333
856.448332634,0.378580588235
583.282697474,0.237735884615
724.168263784,0.225124575758
1059.00085756,0.256219483871
2298.96506651,0.65674012
1299.36924629,0.358577384615
1139.5330769,0.362996384615
1024.60263742,0.261643066667
2428.95859096,0.498679852941
202.280144503,0.0964399411765
794.76649585,0.236416833333
1283.44755632,0.35981112
876.168728003,0.273577115385
3895.59655478,0.69478984
1838.45975986,0.55879144
887.58696234,0.282527217391
1272.97114091,0.292004974359
2237.338555,0.441571769231
2243.12050896,0.48985272
817.749364664,0.346335935484
1968.77235594,0.463007194444
637.726898906,0.309707785714
3076.08125966,0.503770083333
500.537324732,0.218116833333
494.585855155,0.1932868
1035.09066139,0.310407555556
2396.14078511,0.50208644
569.365810752,0.293731102564
1484.34506716,0.442420407407
1393.93429886,0.337067487179
972.933103525,0.286365322581
445.408495107,0.19540578125
382.17641299,0.171382926829
1731.04519683,0.326238777778
916.588301973,0.287927933333
2126.42032302,0.466749133333
891.481124196,0.224714148148
2361.9119709,0.483949818182
330.137152444,0.153626448276
1501.36839325,0.380862583333
1134.18585289,0.2900733125
602.963843177,0.203370592593
3339.01465467,0.522405666667
1005.37780038,0.237020576923
693.217716208,0.17280424
2034.8306002,0.366907921053
2828.08593149,0.789124346154

5-Fold RMSE:,0.0449116911813,0.100930713959,0.0981891234221,0.0585424405945,0.0585424405945
Average 5-Fold RMSE:,0.0735454660236

5-Fold rsquared:,0.725144780576,0.633271807564,0.66623657229,0.852432844113,0.852432844113
Average 5-Fold rsquared:,0.731522108159
