voronoi_nodes,transError.std.std
256,0.226872799473
246,0.0888341978949
175,0.0536568207547
60,0.0531756045959
93,0.0388866547706
223,0.156091446153
395,0.204774691356
291,0.189473879231
163,0.0429963941514
113,0.0500640527086
105,0.160692173355
81,0.0364422115207
81,0.115579807708
115,0.0365550743802
85,0.0491585794691
70,0.0890782760547
228,0.0933187599678
289,0.138087316178
278,0.258353516079
156,0.0779121061829
431,0.259494989064
244,0.214149069586
201,0.160472378798
337,0.578481679757
140,0.14193715639
154,0.390698889866
85,0.145785206544
250,0.196101691352
221,0.0540020208264
285,0.0639730578518
283,0.0642383791162
190,0.258741211908
530,0.131888311652
427,0.126072926139
301,0.124697260981
350,0.192108034661
76,0.0517409309399
215,0.150426578073
230,0.141387393986
105,0.0819226964463
316,0.284322556163
295,0.268748777682
129,0.0698040570684
211,0.0777311359681
278,0.221015525555
301,0.170190402896
189,0.10685390071
229,0.237490765274
174,0.110170635227
272,0.172007018126
143,0.0621497895481
183,0.110615023941
146,0.126944549297
263,0.109794391941
170,0.0809823194632
250,0.12386252947
159,0.0966363792344
191,0.064450068138
172,0.0692099506632
166,0.075847820682
22,0.113532147819
124,0.129796983767
253,0.192206970562
146,0.105334107197
243,0.145524364411
126,0.0596299714663
229,0.130217601143
281,0.0974594238893
215,0.0743403423368
462,0.167837658831
194,0.168709916846
246,0.0562958637779
222,0.116143743091
640,0.206076064429

5-Fold RMSE:,0.126560301321,0.0923227489327,0.0495051469434,0.0592031975225,0.0592031975225
Average 5-Fold RMSE:,0.0749780400738

5-Fold rsquared:,0.213602420727,0.108634196761,0.209769724867,-0.568647317876,-0.568647317876
Average 5-Fold rsquared:,-0.401673743997
