avgRoomPerimeter,rotError.std.std
1364.92084998,0.00544283981045
2504.05291544,0.00238204213415
397.608743609,0.00443794731193
158.574001973,0.00221181244909
635.88614888,0.00124875791759
108.968542951,0.00670812510145
1528.34984877,0.00526352379524
759.248936383,0.00913242766636
907.63600807,0.00109827381314
529.397177254,0.001820392131
720.429585269,0.0115835540733
443.595373769,0.00242628577179
231.338538533,0.00881799279479
655.562672363,0.00155158807808
162.29472605,0.00133593491358
1446.42707976,0.0033034977955
1054.23420007,0.00457690250041
539.066583437,0.010818340273
99.2869208384,0.00939720652641
252.355785617,0.00241009476396
191.722481992,0.00935003691155
379.091758694,0.0239013077489
262.262352826,0.0967031592699
191.601876363,0.0235713891725
294.819744545,0.00693154786835
252.559291854,0.00719629727175
632.972242461,0.00729724936466
707.007128463,0.00928123177602
152.416788175,0.00146296711826
511.089909024,0.00345204746565
855.595083334,0.0235237306324
3522.51982697,0.00431503222254
345.9363477,0.0109164373752
650.998139899,0.0384564311949
120.176589697,0.0101640285899
264.066070953,0.0060490277033
462.675505543,0.00237160519209
381.143373035,0.00513266581564
758.966768091,0.00798833628714
1344.71238759,0.00480609803905
351.259423682,0.00931314053418
575.918221531,0.0035854966117
973.132170798,0.0090749635613
557.871193445,0.00197943739482
1503.33670222,0.00752716726779
774.553634232,0.0245157322818
555.98246505,0.0131644023743
2161.19207626,0.00816947942897
1410.68850812,0.00596216482169
2284.5563757,0.00530810796887
511.212845367,0.00290363576381
630.752429175,0.00562260485523
894.483397546,0.00593740494427
1099.36562113,0.0031691424541
630.451496107,0.00408505580913
1194.83545134,0.0074098626606
1792.08753811,0.00358325893136
525.16858287,0.00295568783369
391.018440217,0.00524304033256
645.16136179,0.00492444947089
2075.92330798,0.00284535658194
1164.69698299,0.00668196581096
248.223687618,0.00806206474837
874.059231919,0.00651974844058
470.90808455,0.0102982308024
527.296427239,0.00348419817228
844.944967104,0.00773341395644
219.335679185,0.00707002400913
558.011810887,0.0034764729288
288.41201767,0.00413643864616
1406.85593365,0.0129904271285
682.400594462,0.00201918335413
2023.67071564,0.00303309851547
112.337263592,0.00469485154998
