voronoi_edges,rotError.numSamples.mean
651,8502.88888889
469,4291.20833333
264,5073.26086957
288,2208.2
178,533.736842105
61,281.035714286
92,375.75
229,3820.06451613
404,4729.04166667
305,3357.30434783
171,1109.95652174
112,244.540540541
104,830.8
82,180.0
80,450.733333333
114,457.388888889
85,628.1
69,954.971428571
234,914.034482759
297,2059.76470588
285,8900.875
159,2142.7826087
449,9951.88235294
257,5881.21428571
210,3028.03571429
337,12817.0714286
147,2496.67647059
155,8121.34782609
85,2459.1
253,3998.88235294
220,716.857142857
292,843.47826087
287,3702.36363636
189,6648.12
562,4365.44444444
437,4280.06666667
303,1701.35294118
356,3879.09375
75,189.695652174
216,1054.375
235,2765.85185185
104,1206.76923077
320,6532.5
321,3173.27272727
128,2456.83333333
211,2281.8
279,6061.31034483
315,8307.2
193,2598.6
255,3927.24390244
175,1492.89285714
282,3379.41666667
142,655.766666667
190,964.583333333
146,1611.27777778
265,3842.36
170,1384.0
263,3280.36666667
166,2484.47619048
192,1119.77419355
172,581.0
166,510.341463415
24,1274.18518519
123,1420.46666667
253,4234.0625
145,754.666666667
246,3208.20833333
125,407.793103448
232,2487.5
295,2474.48571429
214,609.074074074
195,2976.25
248,461.08
226,1971.81578947

5-Fold RMSE:,2680.10188671,1622.1817336,1383.39442714,2515.15949632,2515.15949632
Average 5-Fold RMSE:,2035.21901485

5-Fold rsquared:,0.438782667122,0.330338353033,0.270780511818,0.16702226638,0.16702226638
Average 5-Fold rsquared:,0.308204979183
