diameter,transError.numSamples.std
28,5234.2224285
36,1068.57195671
29,257.853455343
11,141.850142792
22,182.929460449
26,3510.04999446
39,3935.77212331
38,4927.43898941
39,363.803157271
31,147.306005198
27,2626.374729
19,108.084781537
19,1084.0791156
26,183.153742003
16,273.731419461
20,642.991734482
39,736.775631788
38,1510.28589149
41,14727.7449601
24,2308.33572565
51,9784.61316845
44,8108.00744572
21,2866.01159506
31,25803.4507764
18,2219.38941949
27,8919.29941979
16,1725.55951023
45,3228.66340734
43,308.046732032
37,701.623265043
30,12253.024445
36,5103.87888822
44,12190.977691
55,10206.0904135
38,1947.88730019
41,4006.02426321
15,189.939449112
28,338.663728636
31,4015.83521781
24,968.189122803
39,5532.41528027
51,1328.17120275
34,4913.35122961
43,897.213776087
34,12782.2996962
40,15884.6134701
28,3217.32940007
40,4350.15152402
24,1687.4634671
31,2927.87105563
31,383.599850828
23,379.749169978
33,1917.94562562
45,2174.75877982
26,1102.42140417
31,2925.49410622
27,3355.85891523
46,490.102011085
30,175.644666554
28,473.088895362
8,617.028443908
31,1136.24840985
38,4289.42952164
28,803.781894131
31,1881.63948857
25,316.936671506
32,2151.72678867
27,6754.77336762
35,350.849437575
49,3895.98161441
30,9293.22106863
35,257.78020405
29,1433.91482635
52,4998.19879432
