radius,rotError.std.mean
14,0.0136865652174
18,0.00848306666667
15,0.00990715789474
6,0.00666489285714
11,0.00854714285714
19,0.0155064516129
20,0.0139629166667
19,0.0146126956522
20,0.00927660869565
16,0.00886394594595
14,0.0103236571429
10,0.00831244
10,0.0120980666667
13,0.00897186111111
9,0.0070672
10,0.00862697142857
20,0.0111955416667
19,0.0146358235294
21,0.0165645
16,0.00871552173913
40,0.0142774482759
22,0.0177865357143
11,0.0435829285714
16,0.01847425
9,0.0134678235294
14,0.0117434782609
12,0.0171069
23,0.0210941176471
22,0.00869485714286
19,0.00991634782609
17,0.0162976363636
18,0.01273672
23,0.0216128148148
28,0.0267318666667
21,0.014787
22,0.01558596875
8,0.00887017391304
17,0.0132185
18,0.0158112592593
12,0.0110901538462
20,0.016004875
26,0.0116140454545
17,0.0131456666667
22,0.012016
20,0.0138605172414
20,0.0208444333333
14,0.0209096857143
20,0.0136826097561
14,0.0140931785714
16,0.0134039285714
16,0.0124418666667
12,0.0149295555556
17,0.0113095
23,0.01085984
18,0.0133554761905
16,0.0143581333333
14,0.00947095238095
23,0.0113865483871
15,0.0149370666667
14,0.0114615121951
4,0.00805719230769
16,0.0116139666667
19,0.01513984375
14,0.0103575555556
19,0.0177405833333
13,0.0105403103448
18,0.0159079615385
15,0.0123346818182
18,0.00975977777778
29,0.0120594285714
16,0.0112861428571
20,0.00749868
15,0.00801097368421
27,0.0182204166667
