avg_shortest_path_length,rotError.std.std
12.5083333333,0.00544283981045
13.3569271611,0.00238204213415
12.912183908,0.00443794731193
5.78474576271,0.00221181244909
9.30294530154,0.00124875791759
12.3206884014,0.00670812510145
16.1501124462,0.00526352379524
16.4234150966,0.00913242766636
14.6480345376,0.00109827381314
12.2139696587,0.001820392131
11.3142857143,0.0115835540733
8.58827160494,0.00242628577179
8.57716049383,0.00881799279479
10.682532418,0.00155158807808
7.91540616246,0.00133593491358
8.67536231884,0.0033034977955
16.3656387665,0.00457690250041
14.4232506728,0.010818340273
16.4339661845,0.00939720652641
11.5084367246,0.00241009476396
24.0119570496,0.00935003691155
14.0247250894,0.0239013077489
9.46532338308,0.0967031592699
14.9227073619,0.0235713891725
8.04121274409,0.00693154786835
12.0442237501,0.00719629727175
8.04257703081,0.00729724936466
17.1090763052,0.00928123177602
16.8520773344,0.00146296711826
14.4353595256,0.00345204746565
14.282835877,0.0235237306324
15.3235310498,0.00431503222254
17.5499233156,0.0109164373752
20.3348066541,0.0384564311949
16.2894352159,0.0101640285899
17.6897421203,0.0060490277033
7.64877192982,0.00237160519209
12.9439687025,0.00513266581564
13.0972090374,0.00798833628714
9.9010989011,0.00480609803905
16.4454892506,0.00931314053418
22.6007609824,0.0035854966117
12.4963662791,0.0090749635613
15.6761002031,0.00197943739482
15.0959665481,0.00752716726779
15.7765005537,0.0245157322818
12.0269053248,0.0131644023743
15.4703899487,0.00816947942897
11.876818816,0.00596216482169
13.9151562839,0.00530810796887
12.227715946,0.00290363576381
10.8023779499,0.00562260485523
12.8683986774,0.00593740494427
17.2478158651,0.0031691424541
11.9320570832,0.00408505580913
13.4870361446,0.0074098626606
12.3135100709,0.00358325893136
16.7567925048,0.00295568783369
12.165374677,0.00524304033256
11.5426798101,0.00492444947089
3.74025974026,0.00284535658194
12.9842643588,0.00668196581096
15.7706882489,0.00806206474837
12.4842701937,0.00651974844058
13.5300479543,0.0102982308024
9.91822222222,0.00348419817228
13.346740213,0.00773341395644
12.3785714286,0.00707002400913
13.5930449902,0.0034764729288
20.2936398381,0.00413643864616
12.2111532504,0.0129904271285
14.8327194292,0.00201918335413
13.2625249684,0.00303309851547
21.4998288341,0.00469485154998
