wallRatio,rotError.std.std
95.5085578123,0.00570813314798
58.5,0.00238204213415
259.861982598,0.00443794731193
79.1568064035,0.00221181244909
156.077544829,0.00124875791759
254.000492126,0.00692890029398
107.75,0.00526352379524
85.0,0.00916339305052
150.372087523,0.00109827381314
116.372247551,0.001820392131
79.9034139168,0.0115835540733
152.105884173,0.00242628577179
140.405128111,0.00881799279479
70.2032762768,0.00156947572306
111.803398875,0.00133593491358
52.3333333333,0.0033034977955
159.476547589,0.00427790386373
107.12901101,0.010818340273
75.0,0.0073614093577
85.5,0.0020421627691
82.2192191644,0.00882900353326
85.6692606611,0.0056069691509
146.017550315,0.00964521917124
42.5,0.0102373131119
40.7940417972,0.00694223066048
116.833333333,0.00719629727175
54.6829244118,0.00729724936466
195.799193881,0.00941862106525
52.3630080819,0.00165015637774
72.7590861363,0.00327309840264
137.333434466,0.00344135860057
195.0,0.00431503222254
57.795023193,0.00820748297377
62.8,0.038374045582
64.1950153828,0.00800000789555
47.3333333333,0.00653686665775
134.713399482,0.0030003076901
75.894663844,0.00533292057631
64.2505870093,0.00671912860422
64.8333333333,0.00480609803905
113.5,0.00899802736477
59.6003355695,0.00879950207474
116.659635642,0.0034406223505
75.5,0.00161564506
61.75,0.00646094092521
119.221642331,0.00512121237682
100.215345056,0.00772600753931
113.84243497,0.00810460207062
100.762716319,0.00596216482169
108.5,0.00468461053166
61.0,0.00290363576381
69.3375245282,0.00727200671353
162.786363065,0.00593740494427
60.9924333264,0.0031691424541
276.335142736,0.00360718859354
125.858650875,0.00760278416857
136.792027631,0.00281495176744
170.018165119,0.00295568783369
186.752431278,0.00587875703598
94.2,0.00492444947089
121.115647214,0.00274550707465
125.858650875,0.00668196581096
69.0004528971,0.00693703706243
60.5556574923,0.00651974844058
54.7144722115,0.0105001485137
76.8259771772,0.00348419817228
56.5108006335,0.00672065780498
185.4,0.00427584456832
39.8571428571,0.0034764729288
68.2,0.218382402573
88.2524787187,0.0062202472559
103.815447111,0.00201918335413
359.666821131,0.00303309851547
82.25,0.00630615992045

5-Fold RMSE:,0.00699477214389,0.00547526114838,0.00535421758903,0.0547174126183,0.0547174126183
Average 5-Fold RMSE:,0.0161939372031

5-Fold rsquared:,-0.0605360189915,-2.29240845947,0.0541991925452,-5.40474479689,-5.40474479689
Average 5-Fold rsquared:,-2.66924685628
